tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1435824,"Гостиница ""Ангара""",300,13,22,4.33,2026-03-22,5500.00
1434513,"Парк отель ""Байкал""",9,12,40,133.33,2026-03-22,3500.00
906031,"Гостиница ""Матрёшка""",35,8,18,22.86,2026-03-22,4982.00
1265180,"Отель ""Байкал Бизнес Центр""",59,3,8,5.08,2026-03-22,8800.00
1296851,"Гостиница ""Русь""",56,9,21,16.07,2026-03-22,4100.00
1328740,"Гостиница ""На Звездинской""",30,5,9,16.67,2026-03-22,5000.00
1889753,"Мини-отель ""Проспект""",4,3,12,75.0,2026-03-22,3200.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,13,50,43.33,2026-03-22,3000.00
1490581,"Гостиница ""Юбилейная""",23,5,10,21.74,2026-03-22,3000.00
1298063,"Бутик-отель ""География""",12,3,5,25.0,2026-03-22,6400.00
1064267,Мини-отель «Nice People»,6,6,11,100.0,2026-03-22,3500.00
787596,"Гостиница ""Ochagof""",23,4,12,17.39,2026-03-22,5950.00
1000539,"Отель ""Маяк""",75,9,17,12.0,2026-03-22,5940.00
1277758,"Отель ""Гранд Байкал""",64,3,7,4.69,2026-03-22,9300.00
946962,"Отель ""Лотос""",21,8,19,38.1,2026-03-22,1150.00
1032271,"Отель ""Даурия""",15,4,10,26.67,2026-03-22,5500.00
1265779,"Отель ""Клубный Квартал""",48,5,10,10.42,2026-03-22,3400.00
1287498,"Парк-отель ""Соболинка""",33,0,0,0.0,2026-03-22,
1276636,"Парк-отель ""Бурдугуз""",69,5,15,7.25,2026-03-22,19500.00
1390225,"Гостиница ""Добрый Кот""",10,7,15,70.0,2026-03-22,800.00
1462849,"Гостиница ""7 дорог""",19,7,25,36.84,2026-03-22,7970.00
1491765,"Гостиница ""130Hotel""",12,4,8,33.33,2026-03-22,4500.00
1487384,"Парк отель ""Уюга""",58,8,32,13.79,2026-03-22,6000.00
1609403,"Отель ""Иркут""",30,9,16,30.0,2026-03-22,3200.00
1690094,Гостиница Олимпиада,25,2,4,8.0,2026-03-22,3500.00
1892012,"Отель ""Подлеморье""",14,7,15,50.0,2026-03-22,4000.00
1467982,Гостиница,5,2,4,40.0,2026-03-22,2000.00
895518,"Гостиница ""Космос""",16,4,14,25.0,2026-03-22,3675.00
2063101,"Гостиница ""Азия-Европа""",19,6,12,31.58,2026-03-22,4000.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,6,11,40.0,2026-03-22,4100.00
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-22,4500.00
1314294,"Гостиница ""Ангара-Приоритет""",31,5,12,16.13,2026-03-22,4500.00
904225,"Отель ""Михаил Строгов""",21,11,20,52.38,2026-03-22,5400.00
1775519,"Гостиница ""Nord Star Hotel""",12,6,20,50.0,2026-03-22,5500.00
1441288,Отель Армат 4*,40,7,14,17.5,2026-03-22,7400.00
1367592,"Отель ""Атлас""",28,3,8,10.71,2026-03-22,4700.00
1472664,"Гостиница ""Байкал Форест""",76,8,22,10.53,2026-03-22,6500.00
424345,"Гостиничный комплекс ""Лазурный берег""",66,1,2,1.52,2026-03-22,5500.00
1450305,Дача БайкалЭко,10,4,8,40.0,2026-03-22,15000.00
425543,"Отель ""Звезда""",64,5,12,7.81,2026-03-22,6700.00
1296594,"Отель ""Тайга""",44,7,17,15.91,2026-03-22,4600.00
1508283,"Гостиница"" Аврора""",7,4,10,57.14,2026-03-22,2200.00
1390108,"Гостиница  ""Воробьевы горы""",11,7,28,63.64,2026-03-22,12000.00
1632075,"Отель"" Арбат""",11,3,6,27.27,2026-03-22,5190.00
1785783,"Отель ""Белый Берег""",5,4,16,80.0,2026-03-22,9500.00
2032078,Гостиница «Усадьба Егорова»,10,8,20,80.0,2026-03-22,6000.00
767249,"Отель ""Купеческий Дворъ""",14,8,25,57.14,2026-03-22,6700.00
898794,"Бутик-отель ""Маруся""",14,7,16,50.0,2026-03-22,6615.00
1129766,"Доходный дом ""М.А. Листратовой""",15,9,18,60.0,2026-03-22,3552.00
1343236,"Бутик-отель ""Аристократ""",12,3,5,25.0,2026-03-22,4500.00
1345611,Гостиница,29,7,16,24.14,2026-03-22,13800.00
1335449,Отель Амурский,17,10,24,58.82,2026-03-22,14000.00
1378154,"Гостиница ""Байкал - Северное море""",120,14,34,11.67,2026-03-22,5635.00
1899852,Отель «Байкал-Аляска»,24,2,4,8.33,2026-03-22,11800.00
1979910,"Отель""NUUR HOTEL""",28,9,25,32.14,2026-03-22,6000.00
1993192,"Парк-отель ""Алтан""",21,8,24,38.1,2026-03-22,6250.00
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-22,3100.00
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-22,4350.00
2110558,"Гостиница ""Малый отель""",11,5,10,45.45,2026-03-22,5200.00
