tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-03-24,300,13,22,4.33,5500.00
906031,"Гостиница ""Матрёшка""",2026-03-24,35,4,8,11.43,4982.00
1296851,"Гостиница ""Русь""",2026-03-24,56,9,21,16.07,4100.00
1328740,"Гостиница ""На Звездинской""",2026-03-24,30,5,9,16.67,5000.00
1889753,"Мини-отель ""Проспект""",2026-03-24,4,3,12,75.0,3200.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-03-24,30,7,29,23.33,3700.00
1490581,"Гостиница ""Юбилейная""",2026-03-24,23,5,10,21.74,3000.00
1298063,"Бутик-отель ""География""",2026-03-24,12,3,8,25.0,7200.00
1064267,Мини-отель «Nice People»,2026-03-24,6,6,11,100.0,3800.00
787596,"Гостиница ""Ochagof""",2026-03-24,23,4,12,17.39,5950.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-03-24,37,1,4,2.7,19800.00
1277758,"Отель ""Гранд Байкал""",2026-03-24,64,3,7,4.69,9300.00
1000539,"Отель ""Маяк""",2026-03-24,75,7,13,9.33,5940.00
1487384,"Парк отель ""Уюга""",2026-03-24,58,9,35,15.52,4500.00
1892012,"Отель ""Подлеморье""",2026-03-24,14,7,15,50.0,4000.00
1851647,"Парк-Отель ""Шелест""",2026-03-24,8,3,6,37.5,5000.00
1775519,"Гостиница ""Nord Star Hotel""",2026-03-24,12,6,20,50.0,5500.00
1690094,Гостиница Олимпиада,2026-03-24,25,2,4,8.0,3500.00
1655828,"Апарт-отель ""Светлый""",2026-03-24,6,4,8,66.67,4500.00
895518,"Гостиница ""Космос""",2026-03-24,16,6,19,37.5,3675.00
1609403,"Отель ""Иркут""",2026-03-24,30,8,15,26.67,3200.00
1491765,"Гостиница ""130Hotel""",2026-03-24,12,5,9,41.67,3500.00
1390225,"Гостиница ""Добрый Кот""",2026-03-24,10,7,16,70.0,800.00
1462849,"Гостиница ""7 дорог""",2026-03-24,19,9,31,47.37,7970.00
1467982,Гостиница,2026-03-24,5,2,4,40.0,2000.00
1441288,Отель Армат 4*,2026-03-24,40,7,16,17.5,8500.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-03-24,31,0,0,0.0,
1382100,"Гостиница ""У Истока""",2026-03-24,24,0,0,0.0,
1367731,"Отель ""Яковлевъ""",2026-03-24,25,0,0,0.0,
1276636,"Парк-отель ""Бурдугуз""",2026-03-24,69,5,15,7.25,19500.00
1265779,"Отель ""Клубный Квартал""",2026-03-24,48,4,8,8.33,3400.00
946962,"Отель ""Лотос""",2026-03-24,21,2,4,9.52,3150.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-03-24,15,7,13,46.67,4100.00
1032271,"Отель ""Даурия""",2026-03-24,15,4,10,26.67,5500.00
904225,"Отель ""Михаил Строгов""",2026-03-24,21,9,17,42.86,5400.00
2063101,"Гостиница ""Азия-Европа""",2026-03-24,19,8,16,42.11,4000.00
1472664,"Гостиница ""Байкал Форест""",2026-03-24,76,8,22,10.53,6500.00
1450305,Дача БайкалЭко,2026-03-24,10,4,8,40.0,15000.00
1367592,"Отель ""Атлас""",2026-03-24,28,2,6,7.14,5700.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-03-24,66,5,10,7.58,5000.00
1296594,"Отель ""Тайга""",2026-03-24,44,1,1,2.27,4600.00
1508283,"Гостиница"" Аврора""",2026-03-24,7,3,8,42.86,3300.00
1390108,"Гостиница  ""Воробьевы горы""",2026-03-24,11,7,28,63.64,12000.00
425543,"Отель ""Звезда""",2026-03-24,64,6,14,9.38,6700.00
1632075,"Отель"" Арбат""",2026-03-24,11,6,11,54.55,4390.00
2032078,Гостиница «Усадьба Егорова»,2026-03-24,10,7,18,70.0,5400.00
1785783,"Отель ""Белый Берег""",2026-03-24,5,4,16,80.0,9500.00
2036706,"Отель ""Магистраль""",2026-03-24,21,9,25,42.86,3100.00
1993192,"Парк-отель ""Алтан""",2026-03-24,21,8,24,38.1,6250.00
1979910,"Отель""NUUR HOTEL""",2026-03-24,28,4,11,14.29,6000.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-03-24,99,2,4,2.02,9200.00
1343236,"Бутик-отель ""Аристократ""",2026-03-24,12,3,7,25.0,4900.00
1378154,"Гостиница ""Байкал - Северное море""",2026-03-24,120,14,34,11.67,5635.00
1345611,Гостиница,2026-03-24,29,6,14,20.69,13800.00
1335449,Отель Амурский,2026-03-24,17,0,0,0.0,
1129766,"Доходный дом ""М.А. Листратовой""",2026-03-24,15,0,0,0.0,
898794,"Бутик-отель ""Маруся""",2026-03-24,14,7,17,50.0,6300.00
767249,"Отель ""Купеческий Дворъ""",2026-03-24,14,7,22,50.0,6700.00
2110558,"Гостиница ""Малый отель""",2026-03-24,11,7,14,63.64,5200.00
1367536,"Отель ""Санаторий Солнечный""",2026-03-24,125,4,8,3.2,4350.00
