tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1435824,"Гостиница ""Ангара""",300,14,24,4.67,2026-03-26,5500.00
1265180,"Отель ""Байкал Бизнес Центр""",59,4,10,6.78,2026-03-26,8800.00
906031,"Гостиница ""Матрёшка""",35,9,19,25.71,2026-03-26,4982.00
1296851,"Гостиница ""Русь""",56,3,5,5.36,2026-03-26,4100.00
1328740,"Гостиница ""На Звездинской""",30,5,9,16.67,2026-03-26,5000.00
1845315,"Апарт -отель ""BaikalStory """,10,1,4,10.0,2026-03-26,4280.00
1889753,"Мини-отель ""Проспект""",4,3,12,75.0,2026-03-26,3200.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,11,40,36.67,2026-03-26,3000.00
1490581,"Гостиница ""Юбилейная""",23,6,10,26.09,2026-03-26,2500.00
1298063,"Бутик-отель ""География""",12,6,12,50.0,2026-03-26,6500.00
1064267,"Мини-отель ""Nice People""",6,5,10,83.33,2026-03-26,3500.00
787596,"Гостиница ""Ochagof""",23,4,12,17.39,2026-03-26,5950.00
1000539,"Отель ""Маяк""",75,8,15,10.67,2026-03-26,7040.00
1487384,"Парк отель ""Уюга""",58,9,35,15.52,2026-03-26,4500.00
1892012,"Отель ""Подлеморье""",14,8,18,57.14,2026-03-26,5000.00
1851647,"Парк-Отель ""Шелест""",8,4,8,50.0,2026-03-26,5000.00
1775519,"Гостиница ""Nord Star Hotel""",12,6,20,50.0,2026-03-26,5500.00
1690094,Гостиница Олимпиада,25,3,4,12.0,2026-03-26,1700.00
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-26,4500.00
895518,"Гостиница ""Космос""",16,7,26,43.75,2026-03-26,3675.00
1609403,"Отель ""Иркут""",30,10,17,33.33,2026-03-26,3200.00
1491765,"Гостиница ""130Hotel""",12,5,9,41.67,2026-03-26,3500.00
1490199,Отель «Альпари»,10,4,10,40.0,2026-03-26,2400.00
1462849,"Гостиница ""7 дорог""",19,9,32,47.37,2026-03-26,7970.00
1467982,Гостиница,5,3,5,60.0,2026-03-26,2000.00
1441288,Отель Армат 4*,40,8,17,20.0,2026-03-26,7400.00
1314294,"Гостиница ""Ангара-Приоритет""",31,6,12,19.35,2026-03-26,4500.00
1367731,"Отель ""Яковлевъ""",25,5,11,20.0,2026-03-26,3000.00
1287498,"Парк-отель ""Соболинка""",33,4,8,12.12,2026-03-26,7700.00
1276636,"Парк-отель ""Бурдугуз""",69,5,15,7.25,2026-03-26,19500.00
1265779,"Отель ""Клубный Квартал""",48,1,2,2.08,2026-03-26,5600.00
946962,"Отель ""Лотос""",21,6,12,28.57,2026-03-26,2300.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,6,10,40.0,2026-03-26,4100.00
1032271,"Отель ""Даурия""",15,1,2,6.67,2026-03-26,5500.00
904225,"Отель ""Михаил Строгов""",21,10,18,47.62,2026-03-26,5400.00
2063101,"Гостиница ""Азия-Европа""",19,6,12,31.58,2026-03-26,4000.00
1472664,"Гостиница ""Байкал Форест""",76,8,22,10.53,2026-03-26,6500.00
1367592,"Отель ""Атлас""",28,4,11,14.29,2026-03-26,4700.00
1296594,"Отель ""Тайга""",44,4,11,9.09,2026-03-26,5800.00
1508283,"Гостиница"" Аврора""",7,2,6,28.57,2026-03-26,3700.00
1390108,"Гостиница  ""Воробьевы горы""",11,0,0,0.0,2026-03-26,
425543,"Отель ""Звезда""",64,6,14,9.38,2026-03-26,6000.00
1632075,"Отель"" Арбат""",11,2,4,18.18,2026-03-26,6890.00
2032078,Гостиница «Усадьба Егорова»,10,7,18,70.0,2026-03-26,5400.00
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-26,3100.00
1993192,"Парк-отель ""Алтан""",21,6,16,28.57,2026-03-26,6250.00
1979910,"Отель""NUUR HOTEL""",28,6,17,21.43,2026-03-26,6000.00
1899852,Отель «Байкал-Аляска»,24,4,8,16.67,2026-03-26,9500.00
1802586,"Гостиница ""BAIKAL VIEW""",99,2,4,2.02,2026-03-26,9200.00
1343236,"Бутик-отель ""Аристократ""",12,2,2,16.67,2026-03-26,4500.00
1378154,"Гостиница ""Байкал - Северное море""",120,14,34,11.67,2026-03-26,5635.00
1345611,Гостиница,29,6,14,20.69,2026-03-26,13800.00
1335449,Отель Амурский,17,11,26,64.71,2026-03-26,14000.00
1129766,"Доходный дом ""М.А. Листратовой""",15,10,18,66.67,2026-03-26,3330.00
898794,"Бутик-отель ""Маруся""",14,6,14,42.86,2026-03-26,5985.00
767249,"Отель ""Купеческий Дворъ""",14,10,31,71.43,2026-03-26,6700.00
2110558,"Гостиница ""Малый отель""",11,8,15,72.73,2026-03-26,4500.00
1367536,"Отель ""Санаторий Солнечный""",125,2,4,1.6,2026-03-26,5600.00
