tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1435824,"Гостиница ""Ангара""",300,14,24,4.67,2026-03-25,5500.00
1265180,"Отель ""Байкал Бизнес Центр""",59,2,6,3.39,2026-03-25,9400.00
906031,"Гостиница ""Матрёшка""",35,9,19,25.71,2026-03-25,5043.00
1296851,"Гостиница ""Русь""",56,9,21,16.07,2026-03-25,4100.00
1328740,"Гостиница ""На Звездинской""",30,5,9,16.67,2026-03-25,5000.00
1889753,"Мини-отель ""Проспект""",4,3,12,75.0,2026-03-25,3200.00
1782205,"Гостиница ""Березка""",4,1,4,25.0,2026-03-25,4800.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,8,33,26.67,2026-03-25,3000.00
1490581,"Гостиница ""Юбилейная""",23,5,10,21.74,2026-03-25,3000.00
1298063,"Бутик-отель ""География""",12,3,10,25.0,2026-03-25,9200.00
1064267,"Мини-отель ""Nice People""",6,4,8,66.67,2026-03-25,3300.00
787596,"Гостиница ""Ochagof""",23,3,9,13.04,2026-03-25,5950.00
1277758,"Отель ""Гранд Байкал""",64,3,7,4.69,2026-03-25,11700.00
1000539,"Отель ""Маяк""",75,9,17,12.0,2026-03-25,5940.00
1487384,"Парк отель ""Уюга""",58,8,32,13.79,2026-03-25,6000.00
1892012,"Отель ""Подлеморье""",14,7,15,50.0,2026-03-25,4500.00
1851647,"Парк-Отель ""Шелест""",8,3,6,37.5,2026-03-25,5000.00
1775519,"Гостиница ""Nord Star Hotel""",12,6,20,50.0,2026-03-25,5500.00
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-25,4500.00
895518,"Гостиница ""Космос""",16,7,25,43.75,2026-03-25,3675.00
1609403,"Отель ""Иркут""",30,9,16,30.0,2026-03-25,3200.00
1491765,"Гостиница ""130Hotel""",12,5,9,41.67,2026-03-25,3500.00
1390225,"Гостиница ""Добрый Кот""",10,7,17,70.0,2026-03-25,800.00
1490199,Отель «Альпари»,10,4,10,40.0,2026-03-25,2400.00
1462849,"Гостиница ""7 дорог""",19,8,29,42.11,2026-03-25,7970.00
1467982,Гостиница,5,0,0,0.0,2026-03-25,
1441288,Отель Армат 4*,40,0,0,0.0,2026-03-25,
1314294,"Гостиница ""Ангара-Приоритет""",31,5,12,16.13,2026-03-25,4500.00
1382100,"Гостиница ""У Истока""",24,1,2,4.17,2026-03-25,3400.00
1367731,"Отель ""Яковлевъ""",25,4,8,16.0,2026-03-25,3000.00
1287498,"Парк-отель ""Соболинка""",33,2,6,6.06,2026-03-25,9450.00
1276636,"Парк-отель ""Бурдугуз""",69,5,15,7.25,2026-03-25,19500.00
1265779,"Отель ""Клубный Квартал""",48,2,4,4.17,2026-03-25,4000.00
946962,"Отель ""Лотос""",21,2,4,9.52,2026-03-25,3150.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,5,9,33.33,2026-03-25,4100.00
1032271,"Отель ""Даурия""",15,4,10,26.67,2026-03-25,5500.00
904225,"Отель ""Михаил Строгов""",21,7,14,33.33,2026-03-25,6500.00
2063101,"Гостиница ""Азия-Европа""",19,3,6,15.79,2026-03-25,7250.00
1472664,"Гостиница ""Байкал Форест""",76,7,19,9.21,2026-03-25,6500.00
1367592,"Отель ""Атлас""",28,2,6,7.14,2026-03-25,5700.00
424345,"Гостиничный комплекс ""Лазурный берег""",66,5,10,7.58,2026-03-25,5000.00
1296594,"Отель ""Тайга""",44,2,6,4.55,2026-03-25,6400.00
1508283,"Гостиница"" Аврора""",7,4,11,57.14,2026-03-25,3300.00
1390108,"Гостиница  ""Воробьевы горы""",11,7,28,63.64,2026-03-25,12000.00
425543,"Отель ""Звезда""",64,6,14,9.38,2026-03-25,7700.00
1632075,"Отель"" Арбат""",11,6,11,54.55,2026-03-25,4390.00
2032078,Гостиница «Усадьба Егорова»,10,7,18,70.0,2026-03-25,5400.00
1785783,"Отель ""Белый Берег""",5,4,16,80.0,2026-03-25,9500.00
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-25,3100.00
1993192,"Парк-отель ""Алтан""",21,8,24,38.1,2026-03-25,6250.00
1979910,"Отель""NUUR HOTEL""",28,5,12,17.86,2026-03-25,6000.00
1899852,Отель «Байкал-Аляска»,24,4,8,16.67,2026-03-25,9500.00
1802586,"Гостиница ""BAIKAL VIEW""",99,0,0,0.0,2026-03-25,
1343236,"Бутик-отель ""Аристократ""",12,0,0,0.0,2026-03-25,
1378154,"Гостиница ""Байкал - Северное море""",120,0,0,0.0,2026-03-25,
1345611,Гостиница,29,6,14,20.69,2026-03-25,13800.00
1335449,Отель Амурский,17,11,26,64.71,2026-03-25,14000.00
1129766,"Доходный дом ""М.А. Листратовой""",15,7,14,46.67,2026-03-25,3885.00
898794,"Бутик-отель ""Маруся""",14,6,15,42.86,2026-03-25,6300.00
767249,"Отель ""Купеческий Дворъ""",14,8,24,57.14,2026-03-25,6700.00
2110558,"Гостиница ""Малый отель""",11,8,15,72.73,2026-03-25,4500.00
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-25,4350.00
