tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-03-27,300,13,22,4.33,5500.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-03-27,59,5,11,8.47,7300.00
906031,"Гостиница ""Матрёшка""",2026-03-27,35,10,20,28.57,4982.00
1296851,"Гостиница ""Русь""",2026-03-27,56,5,11,8.93,4100.00
1328740,"Гостиница ""На Звездинской""",2026-03-27,30,5,9,16.67,5000.00
1889753,"Мини-отель ""Проспект""",2026-03-27,4,3,12,75.0,3200.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-03-27,30,6,25,20.0,3700.00
1490581,"Гостиница ""Юбилейная""",2026-03-27,23,6,10,26.09,2500.00
1298063,"Бутик-отель ""География""",2026-03-27,12,6,14,50.0,6500.00
1064267,"Мини-отель ""Nice People""",2026-03-27,6,6,11,100.0,3200.00
787596,"Гостиница ""Ochagof""",2026-03-27,23,4,12,17.39,5950.00
1277758,"Отель ""Гранд Байкал""",2026-03-27,64,1,1,1.56,11700.00
1000539,"Отель ""Маяк""",2026-03-27,75,6,10,8.0,8140.00
1487384,"Парк отель ""Уюга""",2026-03-27,58,10,38,17.24,4500.00
1892012,"Отель ""Подлеморье""",2026-03-27,14,6,14,42.86,4500.00
1851647,"Парк-Отель ""Шелест""",2026-03-27,8,4,8,50.0,5000.00
1690094,Гостиница Олимпиада,2026-03-27,25,3,6,12.0,3500.00
1655828,"Апарт-отель ""Светлый""",2026-03-27,6,0,0,0.0,
1609403,"Отель ""Иркут""",2026-03-27,30,0,0,0.0,
1491765,"Гостиница ""130Hotel""",2026-03-27,12,5,9,41.67,3500.00
1390225,"Гостиница ""Добрый Кот""",2026-03-27,10,6,15,60.0,800.00
1490199,Отель «Альпари»,2026-03-27,10,4,10,40.0,2400.00
1462849,"Гостиница ""7 дорог""",2026-03-27,19,9,32,47.37,7970.00
1467982,Гостиница,2026-03-27,5,2,4,40.0,2000.00
1441288,Отель Армат 4*,2026-03-27,40,7,16,17.5,8500.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-03-27,31,3,6,9.68,4500.00
1382100,"Гостиница ""У Истока""",2026-03-27,24,4,8,16.67,3400.00
1367731,"Отель ""Яковлевъ""",2026-03-27,25,3,7,12.0,3000.00
1287498,"Парк-отель ""Соболинка""",2026-03-27,33,1,1,3.03,9800.00
1276636,"Парк-отель ""Бурдугуз""",2026-03-27,69,3,9,4.35,29500.00
1265779,"Отель ""Клубный Квартал""",2026-03-27,48,2,4,4.17,3400.00
946962,"Отель ""Лотос""",2026-03-27,21,3,5,14.29,2300.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-03-27,15,7,12,46.67,4100.00
904225,"Отель ""Михаил Строгов""",2026-03-27,21,11,20,52.38,5400.00
2063101,"Гостиница ""Азия-Европа""",2026-03-27,19,8,16,42.11,4000.00
1472664,"Гостиница ""Байкал Форест""",2026-03-27,76,7,19,9.21,6500.00
1367592,"Отель ""Атлас""",2026-03-27,28,7,18,25.0,3700.00
1296594,"Отель ""Тайга""",2026-03-27,44,8,19,18.18,4600.00
1508283,"Гостиница"" Аврора""",2026-03-27,7,4,10,57.14,2200.00
1390108,"Гостиница  ""Воробьевы горы""",2026-03-27,11,4,17,36.36,12000.00
425543,"Отель ""Звезда""",2026-03-27,64,6,14,9.38,5700.00
1632075,"Отель"" Арбат""",2026-03-27,11,3,6,27.27,5190.00
2032078,Гостиница «Усадьба Егорова»,2026-03-27,10,7,17,70.0,5400.00
2036706,"Отель ""Магистраль""",2026-03-27,21,9,25,42.86,3100.00
1979910,"Отель""NUUR HOTEL""",2026-03-27,28,7,20,25.0,6000.00
1899852,Отель «Байкал-Аляска»,2026-03-27,24,4,8,16.67,9500.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-03-27,99,2,4,2.02,9200.00
1343236,"Бутик-отель ""Аристократ""",2026-03-27,12,3,5,25.0,4500.00
1378154,"Гостиница ""Байкал - Северное море""",2026-03-27,120,14,34,11.67,5635.00
1345611,Гостиница,2026-03-27,29,10,24,34.48,13800.00
1335449,Отель Амурский,2026-03-27,17,11,26,64.71,14000.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-03-27,15,8,12,53.33,3330.00
898794,"Бутик-отель ""Маруся""",2026-03-27,14,5,11,35.71,5933.00
767249,"Отель ""Купеческий Дворъ""",2026-03-27,14,7,20,50.0,6700.00
2110558,"Гостиница ""Малый отель""",2026-03-27,11,8,15,72.73,4500.00
1367536,"Отель ""Санаторий Солнечный""",2026-03-27,125,2,4,1.6,5600.00
