tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-03-17,300,10,16,3.33,5500.00
1434513,"Парк отель ""Байкал""",2026-03-17,9,12,40,100.0,3500.00
906031,"Гостиница ""Матрёшка""",2026-03-17,35,7,15,20.0,5351.00
1296851,"Гостиница ""Русь""",2026-03-17,56,3,7,5.36,4500.00
1328740,"Гостиница ""На Звездинской""",2026-03-17,30,5,9,16.67,5000.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-03-17,30,6,21,20.0,3700.00
1490581,"Гостиница ""Юбилейная""",2026-03-17,23,4,8,17.39,3000.00
1298063,"Бутик-отель ""География""",2026-03-17,12,1,2,8.33,8400.00
1064267,Мини-отель «Nice People»,2026-03-17,6,1,2,16.67,5500.00
787596,"Гостиница ""Ochagof""",2026-03-17,23,3,9,13.04,5950.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-03-17,37,7,16,18.92,16500.00
1277758,"Отель ""Гранд Байкал""",2026-03-17,64,3,7,4.69,8100.00
1000539,"Отель ""Маяк""",2026-03-17,75,8,15,10.67,7040.00
2063101,"Гостиница ""Азия-Европа""",2026-03-17,19,3,6,15.79,7250.00
1487384,"Парк отель ""Уюга""",2026-03-17,58,10,38,17.24,4500.00
1892012,"Отель ""Подлеморье""",2026-03-17,14,8,18,57.14,5000.00
1775519,"Гостиница ""Nord Star Hotel""",2026-03-17,12,4,8,33.33,5550.00
1690094,Гостиница Олимпиада,2026-03-17,25,10,16,40.0,1700.00
1655828,"Апарт-отель ""Светлый""",2026-03-17,6,6,12,100.0,4500.00
895518,"Гостиница ""Космос""",2026-03-17,16,14,48,87.5,3675.00
1913029,"Отель ""Точка Байкала""",2026-03-17,38,0,0,0.0,
1851647,"Парк-Отель ""Шелест""",2026-03-17,8,0,0,0.0,
1609403,"Отель ""Иркут""",2026-03-17,30,9,16,30.0,3200.00
1491765,"Гостиница ""130Hotel""",2026-03-17,12,5,9,41.67,3500.00
1390225,"Гостиница ""Добрый Кот""",2026-03-17,10,3,5,30.0,800.00
1490199,Отель «Альпари»,2026-03-17,10,0,0,0.0,
1462849,"Гостиница ""7 дорог""",2026-03-17,19,8,26,42.11,7970.00
1467982,Гостиница,2026-03-17,5,3,5,60.0,2000.00
1441288,Отель Армат 4*,2026-03-17,40,7,14,17.5,7400.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-03-17,31,7,14,22.58,4500.00
1382100,"Гостиница ""У Истока""",2026-03-17,24,0,0,0.0,
1367731,"Отель ""Яковлевъ""",2026-03-17,25,3,6,12.0,4000.00
1287498,"Парк-отель ""Соболинка""",2026-03-17,33,2,2,6.06,7700.00
1276636,"Парк-отель ""Бурдугуз""",2026-03-17,69,5,15,7.25,19500.00
1265779,"Отель ""Клубный Квартал""",2026-03-17,48,0,0,0.0,
946962,"Отель ""Лотос""",2026-03-17,21,0,0,0.0,
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-03-17,15,6,11,40.0,4100.00
1032271,"Отель ""Даурия""",2026-03-17,15,4,10,26.67,5500.00
904225,"Отель ""Михаил Строгов""",2026-03-17,21,2,4,9.52,6500.00
1472664,"Гостиница ""Байкал Форест""",2026-03-17,76,4,10,5.26,7700.00
1450305,Дача БайкалЭко,2026-03-17,10,4,8,40.0,15000.00
1367592,"Отель ""Атлас""",2026-03-17,28,5,13,17.86,5600.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-03-17,66,2,4,3.03,5500.00
1508283,"Гостиница"" Аврора""",2026-03-17,7,3,9,42.86,3700.00
1390108,"Гостиница  ""Воробьевы горы""",2026-03-17,11,7,28,63.64,12000.00
425543,"Отель ""Звезда""",2026-03-17,64,6,14,9.38,7700.00
1296594,"Отель ""Тайга""",2026-03-17,44,1,2,2.27,11000.00
1097942,Hotel Olhon 2*,2026-03-17,28,0,0,0.0,
1632075,"Отель"" Арбат""",2026-03-17,11,3,6,27.27,5190.00
2032078,Гостиница «Усадьба Егорова»,2026-03-17,10,8,20,80.0,6000.00
1785783,"Отель ""Белый Берег""",2026-03-17,5,0,0,0.0,
2036706,"Отель ""Магистраль""",2026-03-17,21,9,25,42.86,3100.00
1993192,"Парк-отель ""Алтан""",2026-03-17,21,7,22,33.33,10000.00
1979910,"Отель""NUUR HOTEL""",2026-03-17,28,4,14,14.29,9400.00
1899852,Отель «Байкал-Аляска»,2026-03-17,24,4,8,16.67,9500.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-03-17,99,4,10,4.04,8200.00
1343236,"Бутик-отель ""Аристократ""",2026-03-17,12,2,2,16.67,4500.00
1378154,"Гостиница ""Байкал - Северное море""",2026-03-17,120,10,22,8.33,5635.00
1345611,Гостиница,2026-03-17,29,5,13,17.24,17400.00
1335449,Отель Амурский,2026-03-17,17,11,26,64.71,14000.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-03-17,15,0,0,0.0,
898794,"Бутик-отель ""Маруся""",2026-03-17,14,0,0,0.0,
767249,"Отель ""Купеческий Дворъ""",2026-03-17,14,0,0,0.0,
1367536,"Отель ""Санаторий Солнечный""",2026-03-17,125,0,0,0.0,
