tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-03-12,300,8,12,2.67,5500.00
906031,"Гостиница ""Матрёшка""",2026-03-12,35,3,5,8.57,5351.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-03-12,59,2,6,3.39,8800.00
1434513,"Парк отель ""Байкал""",2026-03-12,9,12,40,100.0,4500.00
1296851,"Гостиница ""Русь""",2026-03-12,56,2,4,3.57,4500.00
1328740,"Гостиница ""На Звездинской""",2026-03-12,30,5,9,16.67,5000.00
1845315,"Апарт -отель ""BaikalStory """,2026-03-12,10,1,4,10.0,4280.00
1889753,"Мини-отель ""Проспект""",2026-03-12,4,3,12,75.0,3200.00
1782205,"Гостиница ""Березка""",2026-03-12,4,2,8,50.0,5520.00
1490581,"Гостиница ""Юбилейная""",2026-03-12,23,7,12,30.43,2500.00
1298063,"Бутик-отель ""География""",2026-03-12,12,5,11,41.67,7000.00
1064267,Мини-отель «Nice People»,2026-03-12,6,2,4,33.33,4700.00
1000539,"Отель ""Маяк""",2026-03-12,75,2,4,2.67,10780.00
1277758,"Отель ""Гранд Байкал""",2026-03-12,64,3,7,4.69,10500.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-03-12,37,6,12,16.22,16500.00
946962,"Отель ""Лотос""",2026-03-12,21,9,21,42.86,1150.00
1032271,"Отель ""Даурия""",2026-03-12,15,3,8,20.0,5500.00
1265779,"Отель ""Клубный Квартал""",2026-03-12,48,0,0,0.0,
1287498,"Парк-отель ""Соболинка""",2026-03-12,33,0,0,0.0,
1390225,"Гостиница ""Добрый Кот""",2026-03-12,10,7,15,70.0,800.00
1276636,"Парк-отель ""Бурдугуз""",2026-03-12,69,0,0,0.0,
1367731,"Отель ""Яковлевъ""",2026-03-12,25,2,4,8.0,4700.00
1462849,"Гостиница ""7 дорог""",2026-03-12,19,10,36,52.63,7970.00
1491765,"Гостиница ""130Hotel""",2026-03-12,12,0,0,0.0,
1487384,"Парк отель ""Уюга""",2026-03-12,58,5,20,8.62,8500.00
1609403,"Отель ""Иркут""",2026-03-12,30,6,12,20.0,3500.00
1690094,Гостиница Олимпиада,2026-03-12,25,4,6,16.0,1700.00
1892012,"Отель ""Подлеморье""",2026-03-12,14,5,11,35.71,5000.00
1913029,"Отель ""Точка Байкала""",2026-03-12,38,4,16,10.53,12000.00
1467982,Гостиница,2026-03-12,5,2,4,40.0,1500.00
1490199,Отель «Альпари»,2026-03-12,10,0,0,0.0,
1382100,"Гостиница ""У Истока""",2026-03-12,24,1,2,4.17,3400.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-03-12,31,9,22,29.03,4500.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-03-12,15,5,9,33.33,4100.00
904225,"Отель ""Михаил Строгов""",2026-03-12,21,6,10,28.57,5400.00
1655828,"Апарт-отель ""Светлый""",2026-03-12,6,4,8,66.67,4500.00
1441288,Отель Армат 4*,2026-03-12,40,6,14,15.0,8500.00
2063101,"Гостиница ""Азия-Европа""",2026-03-12,19,7,14,36.84,4000.00
1775519,"Гостиница ""Nord Star Hotel""",2026-03-12,12,6,20,50.0,5550.00
1851647,"Парк-Отель ""Шелест""",2026-03-12,8,4,8,50.0,5000.00
1367592,"Отель ""Атлас""",2026-03-12,28,3,7,10.71,5600.00
1472664,"Гостиница ""Байкал Форест""",2026-03-12,76,6,16,7.89,9300.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-03-12,66,1,2,1.52,5500.00
1450305,Дача БайкалЭко,2026-03-12,10,4,8,40.0,15000.00
425543,"Отель ""Звезда""",2026-03-12,64,3,7,4.69,16500.00
895518,"Гостиница ""Космос""",2026-03-12,16,7,26,43.75,3675.00
1296594,"Отель ""Тайга""",2026-03-12,44,1,3,2.27,7600.00
1508283,"Гостиница"" Аврора""",2026-03-12,7,2,5,28.57,2900.00
1390108,"Гостиница  ""Воробьевы горы""",2026-03-12,11,2,10,18.18,17000.00
1097942,Hotel Olhon 2*,2026-03-12,28,2,8,7.14,9000.00
1632075,"Отель"" Арбат""",2026-03-12,11,8,14,72.73,4390.00
1785783,"Отель ""Белый Берег""",2026-03-12,5,4,16,80.0,9500.00
767249,"Отель ""Купеческий Дворъ""",2026-03-12,14,3,10,21.43,8900.00
898794,"Бутик-отель ""Маруся""",2026-03-12,14,4,9,28.57,8610.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-03-12,15,0,0,0.0,
1343236,"Бутик-отель ""Аристократ""",2026-03-12,12,0,0,0.0,
1345611,Гостиница,2026-03-12,29,4,10,13.79,13800.00
1335449,Отель Амурский,2026-03-12,17,0,0,0.0,
1378154,"Гостиница ""Байкал - Северное море""",2026-03-12,120,0,0,0.0,
1802586,"Гостиница ""BAIKAL VIEW""",2026-03-12,99,0,0,0.0,
1899852,Отель «Байкал-Аляска»,2026-03-12,24,0,0,0.0,
1993192,"Парк-отель ""Алтан""",2026-03-12,21,0,0,0.0,
1979910,"Отель""NUUR HOTEL""",2026-03-12,28,4,9,14.29,8300.00
1367536,"Отель ""Санаторий Солнечный""",2026-03-12,125,4,8,3.2,4350.00
2036706,"Отель ""Магистраль""",2026-03-12,21,9,25,42.86,3100.00
2032078,Гостиница «Усадьба Егорова»,2026-03-12,10,7,17,70.0,7000.00
