tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-05-18,300,4,8,1.33,5000.00
1296851,"Гостиница ""Русь""",2026-05-18,56,5,13,8.93,4500.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-05-18,59,3,9,5.08,8200.00
906031,"Гостиница ""Матрёшка""",2026-05-18,35,9,19,25.71,4032.00
1328740,"Гостиница ""На Звездинской""",2026-05-18,30,6,12,20.0,5000.00
1845315,"Апарт -отель ""BaikalStory """,2026-05-18,10,2,10,20.0,4400.00
1889753,"Мини-отель ""Проспект""",2026-05-18,4,3,12,75.0,3200.00
1782205,"Гостиница ""Березка""",2026-05-18,4,2,8,50.0,4200.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-05-18,30,12,46,40.0,2500.00
1490581,"Гостиница ""Юбилейная""",2026-05-18,23,6,12,26.09,3000.00
1064267,"Мини-отель ""Nice People""",2026-05-18,6,4,8,66.67,3000.00
1298063,"Бутик-отель ""География""",2026-05-18,12,4,12,33.33,7400.00
787596,"Гостиница ""Ochagof""",2026-05-18,23,3,9,13.04,5950.00
1000539,"Отель ""Маяк""",2026-05-18,75,9,17,12.0,5310.00
1277758,"Отель ""Гранд Байкал""",2026-05-18,64,3,9,4.69,5400.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-05-18,37,7,14,18.92,12650.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-05-18,66,2,4,3.03,5500.00
904225,"Отель ""Михаил Строгов""",2026-05-18,21,7,12,33.33,4500.00
1032271,"Отель ""Даурия""",2026-05-18,15,3,8,20.0,4500.00
946962,"Отель ""Лотос""",2026-05-18,21,9,19,42.86,2300.00
1390225,"Гостиница ""Добрый Кот""",2026-05-18,10,3,5,30.0,800.00
1690094,Гостиница Олимпиада,2026-05-18,25,2,2,8.0,1700.00
1490199,Отель «Альпари»,2026-05-18,10,3,8,30.0,2400.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-05-18,15,9,18,60.0,3108.00
1609403,"Отель ""Иркут""",2026-05-18,30,8,15,26.67,3200.00
1508283,"Гостиница"" Аврора""",2026-05-18,7,0,0,0.0,
1491765,"Гостиница ""130Hotel""",2026-05-18,12,0,0,0.0,
1343236,"Бутик-отель ""Аристократ""",2026-05-18,12,0,0,0.0,
1655828,"Апарт-отель ""Светлый""",2026-05-18,6,4,8,66.67,4500.00
1892012,"Отель ""Подлеморье""",2026-05-18,14,7,15,50.0,4500.00
1487384,"Парк отель ""Уюга""",2026-05-18,58,10,38,17.24,5000.00
1851647,"Парк-Отель ""Шелест""",2026-05-18,8,2,4,25.0,5000.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-05-18,31,2,4,6.45,6000.00
1441288,Отель Армат 4*,2026-05-18,40,8,17,20.0,6200.00
1462849,"Гостиница ""7 дорог""",2026-05-18,19,8,27,42.11,7200.00
1296594,"Отель ""Тайга""",2026-05-18,44,1,2,2.27,9100.00
1276636,"Парк-отель ""Бурдугуз""",2026-05-18,69,5,15,7.25,19500.00
1367731,"Отель ""Яковлевъ""",2026-05-18,25,6,14,24.0,3000.00
1367592,"Отель ""Атлас""",2026-05-18,28,6,16,21.43,4700.00
1472664,"Гостиница ""Байкал Форест""",2026-05-18,76,3,8,3.95,9500.00
895518,"Гостиница ""Космос""",2026-05-18,16,8,28,50.0,2675.00
2063101,"Гостиница ""Азия-Европа""",2026-05-18,19,8,16,42.11,4000.00
1378154,"Гостиница ""Байкал - Северное море""",2026-05-18,120,13,31,10.83,4500.00
1632075,"Отель"" Арбат""",2026-05-18,11,1,2,9.09,5290.00
2112642,"Гостиница ""Автовокзал""",2026-05-18,22,6,10,27.27,2600.00
2032078,Гостиница «Усадьба Егорова»,2026-05-18,10,7,18,70.0,4700.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-05-18,15,8,14,53.33,5200.00
1785783,"Отель ""Белый Берег""",2026-05-18,5,3,10,60.0,9500.00
425543,"Отель ""Звезда""",2026-05-18,64,2,5,3.12,13100.00
898794,"Бутик-отель ""Маруся""",2026-05-18,14,3,7,21.43,6510.00
767249,"Отель ""Купеческий Дворъ""",2026-05-18,14,11,32,78.57,6970.00
2036706,"Отель ""Магистраль""",2026-05-18,21,9,25,42.86,3100.00
1979910,"Отель""NUUR HOTEL""",2026-05-18,28,7,19,25.0,7300.00
1345611,Гостиница,2026-05-18,29,0,0,0.0,
1899852,Отель «Байкал-Аляска»,2026-05-18,24,4,8,16.67,9500.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-05-18,99,4,10,4.04,9594.00
1390108,"Гостиница  ""Воробьевы горы""",2026-05-18,11,7,28,63.64,11000.00
1335449,Отель Амурский,2026-05-18,17,7,14,41.18,14000.00
1019043,"Гостиница ""Спектр""",2026-05-18,14,4,10,28.57,2800.00
1367536,"Отель ""Санаторий Солнечный""",2026-05-18,125,2,4,1.6,4350.00
2110558,"Гостиница ""Малый отель""",2026-05-18,11,1,2,9.09,5200.00
