tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-05-05,300,13,22,4.33,4500.00
906031,"Гостиница ""Матрёшка""",2026-05-05,35,9,19,25.71,4158.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-05-05,59,6,16,10.17,7600.00
1296851,"Гостиница ""Русь""",2026-05-05,56,9,21,16.07,4100.00
1328740,"Гостиница ""На Звездинской""",2026-05-05,30,6,12,20.0,5000.00
1298063,"Бутик-отель ""География""",2026-05-05,12,8,18,66.67,6000.00
1490581,"Гостиница ""Юбилейная""",2026-05-05,23,8,13,34.78,2500.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-05-05,30,12,45,40.0,3000.00
1064267,"Мини-отель ""Nice People""",2026-05-05,6,2,5,33.33,3200.00
787596,"Гостиница ""Ochagof""",2026-05-05,23,4,12,17.39,5950.00
1000539,"Отель ""Маяк""",2026-05-05,75,9,17,12.0,6195.00
1277758,"Отель ""Гранд Байкал""",2026-05-05,64,3,9,4.69,6300.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-05-05,37,6,12,16.22,12650.00
904225,"Отель ""Михаил Строгов""",2026-05-05,21,11,20,52.38,4500.00
1032271,"Отель ""Даурия""",2026-05-05,15,4,10,26.67,5500.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-05-05,15,7,12,46.67,5200.00
946962,"Отель ""Лотос""",2026-05-05,21,9,20,42.86,1100.00
1265779,"Отель ""Клубный Квартал""",2026-05-05,48,0,0,0.0,
1296594,"Отель ""Тайга""",2026-05-05,44,7,19,15.91,5600.00
1276636,"Парк-отель ""Бурдугуз""",2026-05-05,69,5,15,7.25,19500.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-05-05,66,5,10,7.58,4500.00
1367731,"Отель ""Яковлевъ""",2026-05-05,25,3,6,12.0,3600.00
1382100,"Гостиница ""У Истока""",2026-05-05,24,4,8,16.67,3400.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-05-05,31,8,16,25.81,4000.00
1343236,"Бутик-отель ""Аристократ""",2026-05-05,12,6,12,50.0,4500.00
1441288,Отель Армат 4*,2026-05-05,40,8,17,20.0,6200.00
1467982,Гостиница,2026-05-05,5,3,5,60.0,2000.00
1462849,"Гостиница ""7 дорог""",2026-05-05,19,9,34,47.37,7200.00
1390225,"Гостиница ""Добрый Кот""",2026-05-05,10,6,15,60.0,800.00
1491765,"Гостиница ""130Hotel""",2026-05-05,12,4,8,33.33,4000.00
1508283,"Гостиница"" Аврора""",2026-05-05,7,3,9,42.86,3300.00
1609403,"Отель ""Иркут""",2026-05-05,30,9,16,30.0,2800.00
1655828,"Апарт-отель ""Светлый""",2026-05-05,6,3,6,50.0,4500.00
1690094,Гостиница Олимпиада,2026-05-05,25,3,5,12.0,1700.00
1892012,"Отель ""Подлеморье""",2026-05-05,14,7,15,50.0,4500.00
1487384,"Парк отель ""Уюга""",2026-05-05,58,10,38,17.24,4500.00
1367592,"Отель ""Атлас""",2026-05-05,28,8,19,28.57,3700.00
425543,"Отель ""Звезда""",2026-05-05,64,6,14,9.38,5700.00
1378154,"Гостиница ""Байкал - Северное море""",2026-05-05,120,10,24,8.33,5000.00
1390108,"Гостиница  ""Воробьевы горы""",2026-05-05,11,7,28,63.64,11000.00
1472664,"Гостиница ""Байкал Форест""",2026-05-05,76,5,13,6.58,8500.00
2063101,"Гостиница ""Азия-Европа""",2026-05-05,19,9,18,47.37,4000.00
1632075,"Отель"" Арбат""",2026-05-05,11,5,10,45.45,5190.00
1785783,"Отель ""Белый Берег""",2026-05-05,5,4,16,80.0,9500.00
2032078,Гостиница «Усадьба Егорова»,2026-05-05,10,7,18,70.0,4500.00
767249,"Отель ""Купеческий Дворъ""",2026-05-05,14,11,32,78.57,6030.00
898794,"Бутик-отель ""Маруся""",2026-05-05,14,8,19,57.14,5985.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-05-05,15,8,15,53.33,3330.00
1335449,Отель Амурский,2026-05-05,17,10,22,58.82,16000.00
1345611,Гостиница,2026-05-05,29,8,18,27.59,9200.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-05-05,99,2,4,2.02,10764.00
1899852,Отель «Байкал-Аляска»,2026-05-05,24,4,8,16.67,9500.00
1979910,"Отель""NUUR HOTEL""",2026-05-05,28,0,0,0.0,
1993192,"Парк-отель ""Алтан""",2026-05-05,21,8,24,38.1,12500.00
2036706,"Отель ""Магистраль""",2026-05-05,21,9,25,42.86,3100.00
1019043,"Гостиница ""Спектр""",2026-05-05,14,4,10,28.57,2800.00
1367536,"Отель ""Санаторий Солнечный""",2026-05-05,125,4,8,3.2,4350.00
2110558,"Гостиница ""Малый отель""",2026-05-05,11,9,16,81.82,4500.00
2112642,"Гостиница ""Автовокзал""",2026-05-05,22,6,10,27.27,2600.00
