tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-02-25,300,1,2,0.33,10100.00
1434513,"Парк отель ""Байкал""",2026-02-25,9,12,40,100.0,3500.00
1328740,"Гостиница ""На Звездинской""",2026-02-25,30,7,13,23.33,5000.00
1889753,"Мини-отель ""Проспект""",2026-02-25,4,2,8,50.0,3300.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-02-25,30,5,22,16.67,3000.00
787596,"Гостиница ""Ochagof""",2026-02-25,23,1,3,4.35,5950.00
1000539,"Отель ""Маяк""",2026-02-25,75,7,13,9.33,10810.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-02-25,37,6,12,16.22,17330.00
904225,"Отель ""Михаил Строгов""",2026-02-25,21,3,6,14.29,6500.00
1265779,"Отель ""Клубный Квартал""",2026-02-25,48,10,20,20.83,3400.00
1276636,"Парк-отель ""Бурдугуз""",2026-02-25,69,10,30,14.49,23300.00
1382100,"Гостиница ""У Истока""",2026-02-25,24,2,4,8.33,3400.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-02-25,31,5,12,16.13,5500.00
1467982,Гостиница,2026-02-25,5,6,10,100.0,1500.00
1462849,"Гостиница ""7 дорог""",2026-02-25,19,4,16,21.05,9930.00
1490199,Отель «Альпари»,2026-02-25,10,6,16,60.0,2400.00
1390225,"Гостиница ""Добрый Кот""",2026-02-25,10,6,18,60.0,2400.00
1508283,"Гостиница"" Аврора""",2026-02-25,7,2,6,28.57,3700.00
1609403,"Отель ""Иркут""",2026-02-25,30,4,8,13.33,4800.00
1655828,"Апарт-отель ""Светлый""",2026-02-25,6,8,16,100.0,4500.00
946962,"Отель ""Лотос""",2026-02-25,21,0,0,0.0,
1287498,"Парк-отель ""Соболинка""",2026-02-25,33,0,0,0.0,
1367731,"Отель ""Яковлевъ""",2026-02-25,25,0,0,0.0,
1441288,Отель Армат 4*,2026-02-25,40,0,0,0.0,
1491765,"Гостиница ""130Hotel""",2026-02-25,12,0,0,0.0,
1690094,Гостиница Олимпиада,2026-02-25,25,3,5,12.0,1700.00
1775519,"Гостиница ""Nord Star Hotel""",2026-02-25,12,0,0,0.0,
1851647,"Парк-Отель ""Шелест""",2026-02-25,8,4,8,50.0,5000.00
1913029,"Отель ""Точка Байкала""",2026-02-25,38,0,0,0.0,
1892012,"Отель ""Подлеморье""",2026-02-25,14,4,8,28.57,6800.00
1487384,"Парк отель ""Уюга""",2026-02-25,58,7,28,12.07,6000.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-02-25,66,1,2,1.52,5500.00
1367592,"Отель ""Атлас""",2026-02-25,28,1,3,3.57,6600.00
1450305,Дача БайкалЭко,2026-02-25,10,1,2,10.0,27000.00
1472664,"Гостиница ""Байкал Форест""",2026-02-25,76,0,0,0.0,
2063101,"Гостиница ""Азия-Европа""",2026-02-25,19,0,0,0.0,
1296594,"Отель ""Тайга""",2026-02-25,44,0,0,0.0,
1390108,"Гостиница  ""Воробьевы горы""",2026-02-25,11,0,0,0.0,
895518,"Гостиница ""Космос""",2026-02-25,16,4,16,25.0,3675.00
425543,"Отель ""Звезда""",2026-02-25,64,2,6,3.12,16500.00
1632075,"Отель"" Арбат""",2026-02-25,11,1,1,9.09,4390.00
1097942,Hotel Olhon 2*,2026-02-25,28,0,0,0.0,
1785783,"Отель ""Белый Берег""",2026-02-25,5,0,0,0.0,
1343236,"Бутик-отель ""Аристократ""",2026-02-25,12,0,0,0.0,
767249,"Отель ""Купеческий Дворъ""",2026-02-25,14,2,6,14.29,8900.00
898794,"Бутик-отель ""Marussia""",2026-02-25,14,1,2,7.14,9555.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-02-25,15,0,0,0.0,
1335449,Отель Амурский,2026-02-25,17,1,2,5.88,22000.00
1345611,Гостиница,2026-02-25,29,1,2,3.45,21000.00
1378154,"Гостиница ""Байкал - Северное море""",2026-02-25,120,6,13,5.0,9085.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-02-25,99,0,0,0.0,
1899852,Отель «Байкал-Аляска»,2026-02-25,24,0,0,0.0,
1979910,"Отель""NUUR HOTEL""",2026-02-25,28,0,0,0.0,
1993192,"Парк-отель ""Алтан""",2026-02-25,21,6,20,28.57,18750.00
1367536,"Отель ""Санаторий Солнечный""",2026-02-25,125,4,8,3.2,4350.00
2032078,Гостиница «Усадьба Егорова»,2026-02-25,10,1,3,10.0,7600.00
2036706,"Отель ""Магистраль""",2026-02-25,21,6,18,28.57,3100.00
