tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1434513,"Парк отель ""Байкал""",2026-03-09,9,11,35,100.0,3500.00
1296851,"Гостиница ""Русь""",2026-03-09,56,8,18,14.29,4100.00
1328740,"Гостиница ""На Звездинской""",2026-03-09,30,5,9,16.67,5000.00
1889753,"Мини-отель ""Проспект""",2026-03-09,4,2,8,50.0,4500.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-03-09,30,9,36,30.0,3000.00
1490581,"Гостиница ""Юбилейная""",2026-03-09,23,5,9,21.74,2700.00
1064267,Мини-отель «Nice People»,2026-03-09,6,3,7,50.0,5500.00
787596,"Гостиница ""Ochagof""",2026-03-09,23,3,9,13.04,5950.00
1000539,"Отель ""Маяк""",2026-03-09,75,3,5,4.0,9240.00
1277758,"Отель ""Гранд Байкал""",2026-03-09,64,3,9,4.69,9600.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-03-09,37,2,4,5.41,19800.00
946962,"Отель ""Лотос""",2026-03-09,21,6,11,28.57,2150.00
1032271,"Отель ""Даурия""",2026-03-09,15,3,6,20.0,5500.00
1265779,"Отель ""Клубный Квартал""",2026-03-09,48,3,6,6.25,4000.00
1287498,"Парк-отель ""Соболинка""",2026-03-09,33,4,4,12.12,7700.00
1276636,"Парк-отель ""Бурдугуз""",2026-03-09,69,6,18,8.7,19500.00
1390225,"Гостиница ""Добрый Кот""",2026-03-09,10,18,50,100.0,800.00
1367731,"Отель ""Яковлевъ""",2026-03-09,25,3,6,12.0,4700.00
1462849,"Гостиница ""7 дорог""",2026-03-09,19,14,50,73.68,7970.00
1491765,"Гостиница ""130Hotel""",2026-03-09,12,4,8,33.33,4500.00
1487384,"Парк отель ""Уюга""",2026-03-09,58,9,35,15.52,4500.00
1609403,"Отель ""Иркут""",2026-03-09,30,5,10,16.67,4200.00
1690094,Гостиница Олимпиада,2026-03-09,25,3,4,12.0,1700.00
1892012,"Отель ""Подлеморье""",2026-03-09,14,7,16,50.0,5500.00
1913029,"Отель ""Точка Байкала""",2026-03-09,38,3,12,7.89,10000.00
1467982,Гостиница,2026-03-09,5,3,5,60.0,1500.00
1490199,Отель «Альпари»,2026-03-09,10,3,8,30.0,2400.00
1382100,"Гостиница ""У Истока""",2026-03-09,24,0,0,0.0,
1314294,"Гостиница ""Ангара-Приоритет""",2026-03-09,31,5,10,16.13,4500.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-03-09,15,8,14,53.33,4100.00
904225,"Отель ""Михаил Строгов""",2026-03-09,21,2,3,9.52,5400.00
1655828,"Апарт-отель ""Светлый""",2026-03-09,6,4,8,66.67,4500.00
1441288,Отель Армат 4*,2026-03-09,40,9,20,22.5,7400.00
2063101,"Гостиница ""Азия-Европа""",2026-03-09,19,8,16,42.11,4000.00
1775519,"Гостиница ""Nord Star Hotel""",2026-03-09,12,1,2,8.33,6500.00
1851647,"Парк-Отель ""Шелест""",2026-03-09,8,4,8,50.0,5000.00
1367592,"Отель ""Атлас""",2026-03-09,28,2,6,7.14,5600.00
1472664,"Гостиница ""Байкал Форест""",2026-03-09,76,0,0,0.0,
424345,"Гостиничный комплекс ""Лазурный берег""",2026-03-09,66,0,0,0.0,
1450305,Дача БайкалЭко,2026-03-09,10,4,8,40.0,15000.00
425543,"Отель ""Звезда""",2026-03-09,64,0,0,0.0,
895518,"Гостиница ""Космос""",2026-03-09,16,5,16,31.25,3675.00
1296594,"Отель ""Тайга""",2026-03-09,44,4,10,9.09,5400.00
1508283,"Гостиница"" Аврора""",2026-03-09,7,3,7,42.86,2900.00
1390108,"Гостиница  ""Воробьевы горы""",2026-03-09,11,0,0,0.0,
1097942,Hotel Olhon 2*,2026-03-09,28,6,22,21.43,6500.00
1632075,"Отель"" Арбат""",2026-03-09,11,5,9,45.45,4390.00
1785783,"Отель ""Белый Берег""",2026-03-09,5,4,16,80.0,9500.00
767249,"Отель ""Купеческий Дворъ""",2026-03-09,14,1,4,7.14,12900.00
898794,"Бутик-отель ""Маруся""",2026-03-09,14,4,11,28.57,10185.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-03-09,15,0,0,0.0,
1343236,"Бутик-отель ""Аристократ""",2026-03-09,12,2,2,16.67,4500.00
1345611,Гостиница,2026-03-09,29,6,16,20.69,17400.00
1335449,Отель Амурский,2026-03-09,17,10,24,58.82,17900.00
1378154,"Гостиница ""Байкал - Северное море""",2026-03-09,120,14,34,11.67,7360.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-03-09,99,2,4,2.02,15840.00
1899852,Отель «Байкал-Аляска»,2026-03-09,24,4,8,16.67,9500.00
1979910,"Отель""NUUR HOTEL""",2026-03-09,28,2,8,7.14,17000.00
1993192,"Парк-отель ""Алтан""",2026-03-09,21,2,4,9.52,25000.00
1367536,"Отель ""Санаторий Солнечный""",2026-03-09,125,4,8,3.2,4350.00
2036706,"Отель ""Магистраль""",2026-03-09,21,9,25,42.86,3100.00
2032078,Гостиница «Усадьба Егорова»,2026-03-09,10,6,16,60.0,7000.00
