tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-03-15,300,12,21,4.0,5500.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-03-15,59,2,4,3.39,9400.00
1434513,"Парк отель ""Байкал""",2026-03-15,9,10,36,100.0,3500.00
1296851,"Гостиница ""Русь""",2026-03-15,56,3,9,5.36,5600.00
1328740,"Гостиница ""На Звездинской""",2026-03-15,30,5,9,16.67,5000.00
1889753,"Мини-отель ""Проспект""",2026-03-15,4,3,12,75.0,3200.00
1782205,"Гостиница ""Березка""",2026-03-15,4,1,4,25.0,4800.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-03-15,30,13,49,43.33,3000.00
1490581,"Гостиница ""Юбилейная""",2026-03-15,23,5,9,21.74,2500.00
1298063,"Бутик-отель ""География""",2026-03-15,12,5,13,41.67,6400.00
1064267,Мини-отель «Nice People»,2026-03-15,6,1,2,16.67,4400.00
787596,"Гостиница ""Ochagof""",2026-03-15,23,2,6,8.7,5950.00
1000539,"Отель ""Маяк""",2026-03-15,75,9,17,12.0,7040.00
1277758,"Отель ""Гранд Байкал""",2026-03-15,64,3,9,4.69,9600.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-03-15,37,8,18,21.62,16500.00
946962,"Отель ""Лотос""",2026-03-15,21,11,28,52.38,1150.00
1032271,"Отель ""Даурия""",2026-03-15,15,4,10,26.67,5500.00
1265779,"Отель ""Клубный Квартал""",2026-03-15,48,0,0,0.0,
1287498,"Парк-отель ""Соболинка""",2026-03-15,33,2,2,6.06,7700.00
1276636,"Парк-отель ""Бурдугуз""",2026-03-15,69,10,30,14.49,19500.00
1390225,"Гостиница ""Добрый Кот""",2026-03-15,10,9,23,90.0,800.00
1367731,"Отель ""Яковлевъ""",2026-03-15,25,4,9,16.0,4000.00
1462849,"Гостиница ""7 дорог""",2026-03-15,19,7,26,36.84,7970.00
1491765,"Гостиница ""130Hotel""",2026-03-15,12,2,4,16.67,4500.00
1487384,"Парк отель ""Уюга""",2026-03-15,58,10,38,17.24,4500.00
1609403,"Отель ""Иркут""",2026-03-15,30,8,15,26.67,3900.00
1690094,Гостиница Олимпиада,2026-03-15,25,4,6,16.0,1700.00
1892012,"Отель ""Подлеморье""",2026-03-15,14,7,15,50.0,5000.00
1913029,"Отель ""Точка Байкала""",2026-03-15,38,4,16,10.53,10000.00
1467982,Гостиница,2026-03-15,5,3,5,60.0,2000.00
1490199,Отель «Альпари»,2026-03-15,10,4,10,40.0,2400.00
1382100,"Гостиница ""У Истока""",2026-03-15,24,4,8,16.67,3400.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-03-15,31,6,12,19.35,4500.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-03-15,15,5,9,33.33,4100.00
904225,"Отель ""Михаил Строгов""",2026-03-15,21,3,6,14.29,6500.00
1655828,"Апарт-отель ""Светлый""",2026-03-15,6,2,4,33.33,4500.00
1441288,Отель Армат 4*,2026-03-15,40,9,18,22.5,7400.00
2063101,"Гостиница ""Азия-Европа""",2026-03-15,19,4,8,21.05,5250.00
1775519,"Гостиница ""Nord Star Hotel""",2026-03-15,12,3,8,25.0,5550.00
1851647,"Парк-Отель ""Шелест""",2026-03-15,8,3,6,37.5,5000.00
1367592,"Отель ""Атлас""",2026-03-15,28,1,3,3.57,6600.00
1472664,"Гостиница ""Байкал Форест""",2026-03-15,76,0,0,0.0,
424345,"Гостиничный комплекс ""Лазурный берег""",2026-03-15,66,0,0,0.0,
1450305,Дача БайкалЭко,2026-03-15,10,4,8,40.0,15000.00
425543,"Отель ""Звезда""",2026-03-15,64,2,4,3.12,25000.00
895518,"Гостиница ""Космос""",2026-03-15,16,6,21,37.5,3675.00
1296594,"Отель ""Тайга""",2026-03-15,44,6,11,13.64,5400.00
1508283,"Гостиница"" Аврора""",2026-03-15,7,1,2,14.29,2900.00
1390108,"Гостиница  ""Воробьевы горы""",2026-03-15,11,7,28,63.64,12000.00
1097942,Hotel Olhon 2*,2026-03-15,28,10,36,35.71,7500.00
1632075,"Отель"" Арбат""",2026-03-15,11,1,2,9.09,6890.00
1785783,"Отель ""Белый Берег""",2026-03-15,5,4,16,80.0,9500.00
767249,"Отель ""Купеческий Дворъ""",2026-03-15,14,4,11,28.57,8200.00
898794,"Бутик-отель ""Маруся""",2026-03-15,14,4,8,28.57,7613.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-03-15,15,7,16,46.67,3885.00
1343236,"Бутик-отель ""Аристократ""",2026-03-15,12,0,0,0.0,
1345611,Гостиница,2026-03-15,29,7,16,24.14,13800.00
1335449,Отель Амурский,2026-03-15,17,11,26,64.71,17900.00
1378154,"Гостиница ""Байкал - Северное море""",2026-03-15,120,13,31,10.83,5635.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-03-15,99,2,4,2.02,12070.00
1899852,Отель «Байкал-Аляска»,2026-03-15,24,4,8,16.67,9500.00
1993192,"Парк-отель ""Алтан""",2026-03-15,21,7,22,33.33,10000.00
1979910,"Отель""NUUR HOTEL""",2026-03-15,28,5,15,17.86,8300.00
1367536,"Отель ""Санаторий Солнечный""",2026-03-15,125,4,8,3.2,4350.00
2036706,"Отель ""Магистраль""",2026-03-15,21,9,25,42.86,3100.00
2032078,Гостиница «Усадьба Егорова»,2026-03-15,10,6,16,60.0,6600.00
