tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1435824,"Гостиница ""Ангара""",300,4,8,1.33,2026-03-03,9100.00
906031,"Гостиница ""Матрёшка""",35,6,10,17.14,2026-03-03,5105.00
1434513,"Парк отель ""Байкал""",9,12,40,133.33,2026-03-03,3500.00
1296851,"Гостиница ""Русь""",56,6,14,10.71,2026-03-03,4100.00
1328740,"Гостиница ""На Звездинской""",30,5,9,16.67,2026-03-03,5000.00
1845315,"Апарт -отель ""BaikalStory """,10,3,16,30.0,2026-03-03,4280.00
1889753,"Мини-отель ""Проспект""",4,2,8,50.0,2026-03-03,3300.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,7,31,23.33,2026-03-03,3000.00
1490581,"Гостиница ""Юбилейная""",23,4,8,17.39,2026-03-03,3000.00
1298063,"Бутик-отель ""География""",12,1,4,8.33,2026-03-03,10100.00
1064267,Мини-отель «Nice People»,6,2,3,33.33,2026-03-03,4700.00
787596,"Гостиница ""Ochagof""",23,2,6,8.7,2026-03-03,5950.00
1000539,"Отель ""Маяк""",75,8,15,10.67,2026-03-03,8510.00
1277758,"Отель ""Гранд Байкал""",64,3,9,4.69,2026-03-03,10800.00
1372499,"Отель ""Байкал Хан Ольхон""",37,4,8,10.81,2026-03-03,16500.00
946962,"Отель ""Лотос""",21,7,18,33.33,2026-03-03,1150.00
1032271,"Отель ""Даурия""",15,3,6,20.0,2026-03-03,5500.00
1265779,"Отель ""Клубный Квартал""",48,5,10,10.42,2026-03-03,3400.00
1287498,"Парк-отель ""Соболинка""",33,2,2,6.06,2026-03-03,7700.00
1276636,"Парк-отель ""Бурдугуз""",69,10,30,14.49,2026-03-03,19500.00
1390225,"Гостиница ""Добрый Кот""",10,9,24,90.0,2026-03-03,800.00
1367731,"Отель ""Яковлевъ""",25,3,7,12.0,2026-03-03,4700.00
1462849,"Гостиница ""7 дорог""",19,6,21,31.58,2026-03-03,7970.00
1491765,"Гостиница ""130Hotel""",12,2,4,16.67,2026-03-03,4500.00
1487384,"Парк отель ""Уюга""",58,5,19,8.62,2026-03-03,4500.00
1609403,"Отель ""Иркут""",30,6,12,20.0,2026-03-03,3500.00
1690094,Гостиница Олимпиада,25,5,8,20.0,2026-03-03,1700.00
1892012,"Отель ""Подлеморье""",14,5,12,35.71,2026-03-03,7500.00
1913029,"Отель ""Точка Байкала""",38,2,8,5.26,2026-03-03,14500.00
1467982,Гостиница,5,3,5,60.0,2026-03-03,1500.00
1490199,Отель «Альпари»,10,4,10,40.0,2026-03-03,2400.00
1382100,"Гостиница ""У Истока""",24,0,0,0.0,2026-03-03,
1314294,"Гостиница ""Ангара-Приоритет""",31,0,0,0.0,2026-03-03,
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,6,11,40.0,2026-03-03,4100.00
904225,"Отель ""Михаил Строгов""",21,0,0,0.0,2026-03-03,
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-03,4500.00
1441288,Отель Армат 4*,40,5,10,12.5,2026-03-03,7400.00
2063101,"Гостиница ""Азия-Европа""",19,2,4,10.53,2026-03-03,5250.00
1775519,"Гостиница ""Nord Star Hotel""",12,0,0,0.0,2026-03-03,
1851647,"Парк-Отель ""Шелест""",8,4,8,50.0,2026-03-03,5000.00
1367592,"Отель ""Атлас""",28,1,3,3.57,2026-03-03,5600.00
1472664,"Гостиница ""Байкал Форест""",76,1,3,1.32,2026-03-03,9300.00
424345,"Гостиничный комплекс ""Лазурный берег""",66,0,0,0.0,2026-03-03,
1450305,Дача БайкалЭко,10,1,2,10.0,2026-03-03,27000.00
425543,"Отель ""Звезда""",64,3,7,4.69,2026-03-03,16500.00
895518,"Гостиница ""Космос""",16,3,14,18.75,2026-03-03,3675.00
1296594,"Отель ""Тайга""",44,0,0,0.0,2026-03-03,
1508283,"Гостиница"" Аврора""",7,4,10,57.14,2026-03-03,3300.00
1390108,"Гостиница  ""Воробьевы горы""",11,4,20,36.36,2026-03-03,17000.00
1097942,Hotel Olhon 2*,28,3,12,10.71,2026-03-03,9000.00
1632075,"Отель"" Арбат""",11,0,0,0.0,2026-03-03,
1785783,"Отель ""Белый Берег""",5,4,16,80.0,2026-03-03,9500.00
767249,"Отель ""Купеческий Дворъ""",14,0,0,0.0,2026-03-03,
898794,"Бутик-отель ""Маруся""",14,0,0,0.0,2026-03-03,
1129766,"Доходный дом ""М.А. Листратовой""",15,2,2,13.33,2026-03-03,4000.00
1343236,"Бутик-отель ""Аристократ""",12,0,0,0.0,2026-03-03,
1345611,Гостиница,29,0,0,0.0,2026-03-03,
1335449,Отель Амурский,17,9,20,52.94,2026-03-03,17900.00
1378154,"Гостиница ""Байкал - Северное море""",120,5,14,4.17,2026-03-03,9085.00
1802586,"Гостиница ""BAIKAL VIEW""",99,2,6,2.02,2026-03-03,16190.00
1899852,Отель «Байкал-Аляска»,24,0,0,0.0,2026-03-03,
1979910,"Отель""NUUR HOTEL""",28,0,0,0.0,2026-03-03,
1993192,"Парк-отель ""Алтан""",21,7,20,33.33,2026-03-03,25000.00
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-03,4350.00
2036706,"Отель ""Магистраль""",21,0,0,0.0,2026-03-03,
2032078,Гостиница «Усадьба Егорова»,10,5,13,50.0,2026-03-03,7000.00
