tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-05-12,300,12,20,4.0,4500.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-05-12,59,8,18,13.56,6100.00
906031,"Гостиница ""Матрёшка""",2026-05-12,35,10,20,28.57,3906.00
1296851,"Гостиница ""Русь""",2026-05-12,56,8,18,14.29,4100.00
1328740,"Гостиница ""На Звездинской""",2026-05-12,30,6,12,20.0,5000.00
1845315,"Апарт -отель ""BaikalStory """,2026-05-12,10,2,10,20.0,4080.00
1889753,"Мини-отель ""Проспект""",2026-05-12,4,2,8,50.0,3200.00
1490581,"Гостиница ""Юбилейная""",2026-05-12,23,9,15,39.13,2500.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-05-12,30,11,43,36.67,2500.00
1064267,"Мини-отель ""Nice People""",2026-05-12,6,2,4,33.33,3600.00
1298063,"Бутик-отель ""География""",2026-05-12,12,5,14,41.67,7400.00
787596,"Гостиница ""Ochagof""",2026-05-12,23,4,12,17.39,5950.00
1000539,"Отель ""Маяк""",2026-05-12,75,8,15,10.67,4860.00
1277758,"Отель ""Гранд Байкал""",2026-05-12,64,4,10,6.25,4800.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-05-12,37,6,12,16.22,12650.00
1032271,"Отель ""Даурия""",2026-05-12,15,3,8,20.0,4500.00
946962,"Отель ""Лотос""",2026-05-12,21,6,15,28.57,1150.00
1296594,"Отель ""Тайга""",2026-05-12,44,0,0,0.0,
1276636,"Парк-отель ""Бурдугуз""",2026-05-12,69,0,0,0.0,
1367731,"Отель ""Яковлевъ""",2026-05-12,25,4,8,16.0,3200.00
1343236,"Бутик-отель ""Аристократ""",2026-05-12,12,5,10,41.67,4500.00
1462849,"Гостиница ""7 дорог""",2026-05-12,19,3,12,15.79,8200.00
1390225,"Гостиница ""Добрый Кот""",2026-05-12,10,4,8,40.0,800.00
1491765,"Гостиница ""130Hotel""",2026-05-12,12,5,9,41.67,3500.00
1508283,"Гостиница"" Аврора""",2026-05-12,7,2,4,28.57,2200.00
1609403,"Отель ""Иркут""",2026-05-12,30,10,17,33.33,3200.00
1690094,Гостиница Олимпиада,2026-05-12,25,4,7,16.0,1700.00
1892012,"Отель ""Подлеморье""",2026-05-12,14,8,18,57.14,4000.00
1487384,"Парк отель ""Уюга""",2026-05-12,58,10,38,17.24,5000.00
1367592,"Отель ""Атлас""",2026-05-12,28,8,20,28.57,3700.00
425543,"Отель ""Звезда""",2026-05-12,64,3,8,4.69,12600.00
1472664,"Гостиница ""Байкал Форест""",2026-05-12,76,5,14,6.58,8500.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-05-12,66,3,6,4.55,4500.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-05-12,31,7,16,22.58,4500.00
1467982,Гостиница,2026-05-12,5,3,5,60.0,2000.00
1655828,"Апарт-отель ""Светлый""",2026-05-12,6,3,6,50.0,4500.00
1632075,"Отель"" Арбат""",2026-05-12,11,4,6,36.36,4390.00
2063101,"Гостиница ""Азия-Европа""",2026-05-12,19,7,14,36.84,4000.00
904225,"Отель ""Михаил Строгов""",2026-05-12,21,9,16,42.86,4500.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-05-12,15,9,15,60.0,3552.00
1382100,"Гостиница ""У Истока""",2026-05-12,24,4,8,16.67,3400.00
1378154,"Гостиница ""Байкал - Северное море""",2026-05-12,120,11,25,9.17,5000.00
1441288,Отель Армат 4*,2026-05-12,40,8,17,20.0,6200.00
1490199,Отель «Альпари»,2026-05-12,10,3,8,30.0,2400.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-05-12,15,0,0,0.0,
1785783,"Отель ""Белый Берег""",2026-05-12,5,4,16,80.0,9500.00
2032078,Гостиница «Усадьба Егорова»,2026-05-12,10,7,17,70.0,4500.00
2112642,"Гостиница ""Автовокзал""",2026-05-12,22,4,6,18.18,2600.00
767249,"Отель ""Купеческий Дворъ""",2026-05-12,14,8,24,57.14,8200.00
898794,"Бутик-отель ""Маруся""",2026-05-12,14,2,4,14.29,6405.00
1335449,Отель Амурский,2026-05-12,17,7,14,41.18,14000.00
1345611,Гостиница,2026-05-12,29,9,21,31.03,9200.00
1390108,"Гостиница  ""Воробьевы горы""",2026-05-12,11,7,28,63.64,11000.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-05-12,99,4,10,4.04,9594.00
1899852,Отель «Байкал-Аляска»,2026-05-12,24,4,8,16.67,9500.00
1979910,"Отель""NUUR HOTEL""",2026-05-12,28,6,17,21.43,7000.00
1993192,"Парк-отель ""Алтан""",2026-05-12,21,8,24,38.1,12500.00
2036706,"Отель ""Магистраль""",2026-05-12,21,8,23,38.1,3100.00
1019043,"Гостиница ""Спектр""",2026-05-12,14,4,10,28.57,2800.00
1367536,"Отель ""Санаторий Солнечный""",2026-05-12,125,2,4,1.6,4350.00
