tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
906031,"Гостиница ""Матрёшка""",2026-06-10,35,10,20,28.57,5103.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-06-10,59,7,17,11.86,6700.00
1296851,"Гостиница ""Русь""",2026-06-10,56,8,18,14.29,4600.00
1328740,"Гостиница ""На Звездинской""",2026-06-10,30,6,12,20.0,5000.00
1889753,"Мини-отель ""Проспект""",2026-06-10,4,3,12,75.0,3200.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-06-10,30,12,48,40.0,3000.00
1490581,"Гостиница ""Юбилейная""",2026-06-10,23,7,11,30.43,2500.00
1462849,"Гостиница ""7 дорог""",2026-06-10,19,8,29,42.11,8400.00
1298063,"Бутик-отель ""География""",2026-06-10,12,6,14,50.0,7400.00
787596,"Гостиница ""Ochagof""",2026-06-10,23,3,9,13.04,5950.00
1277758,"Отель ""Гранд Байкал""",2026-06-10,64,5,11,7.81,5400.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-06-10,37,8,16,21.62,13800.00
904225,"Отель ""Михаил Строгов""",2026-06-10,21,9,16,42.86,4500.00
946962,"Отель ""Лотос""",2026-06-10,21,8,18,38.1,1000.00
1467982,Гостиница,2026-06-10,5,3,5,60.0,2000.00
1490199,Отель «Альпари»,2026-06-10,10,3,8,30.0,2400.00
1508283,"Гостиница"" Аврора""",2026-06-10,7,7,17,100.0,2700.00
1609403,"Отель ""Иркут""",2026-06-10,30,0,0,0.0,
1690094,Гостиница Олимпиада,2026-06-10,25,0,0,0.0,
1265779,"Отель ""Клубный Квартал""",2026-06-10,48,0,0,0.0,
1314294,"Гостиница ""Ангара-Приоритет""",2026-06-10,31,0,0,0.0,
1655828,"Апарт-отель ""Светлый""",2026-06-10,6,0,0,0.0,
1390225,"Гостиница ""Добрый Кот""",2026-06-10,10,1,4,10.0,4800.00
1296594,"Отель ""Тайга""",2026-06-10,44,8,20,18.18,4900.00
1487384,"Парк отель ""Уюга""",2026-06-10,58,8,30,13.79,5000.00
1851647,"Парк-Отель ""Шелест""",2026-06-10,8,4,8,50.0,5000.00
1343236,"Бутик-отель ""Аристократ""",2026-06-10,12,3,5,25.0,5100.00
1491765,"Гостиница ""130Hotel""",2026-06-10,12,5,9,41.67,5500.00
1892012,"Отель ""Подлеморье""",2026-06-10,14,6,12,42.86,5500.00
1913029,"Отель ""Точка Байкала""",2026-06-10,26,4,16,15.38,6500.00
1367731,"Отель ""Яковлевъ""",2026-06-10,25,1,2,4.0,4600.00
1441288,Отель Армат 4*,2026-06-10,36,7,16,19.44,5300.00
1472664,"Гостиница ""Байкал Форест""",2026-06-10,76,5,15,6.58,7500.00
1276636,"Парк-отель ""Бурдугуз""",2026-06-10,69,5,15,7.25,19500.00
2112642,"Гостиница ""Автовокзал""",2026-06-10,22,8,14,36.36,2600.00
1632075,"Отель"" Арбат""",2026-06-10,11,7,12,63.64,2930.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-06-10,15,9,15,60.0,4995.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-06-10,15,8,14,53.33,5200.00
2032078,Гостиница «Усадьба Егорова»,2026-06-10,10,6,14,60.0,7000.00
1785783,"Отель ""Белый Берег""",2026-06-10,5,2,12,40.0,9500.00
1450305,Дача БайкалЭко,2026-06-10,10,4,8,40.0,12000.00
425543,"Отель ""Звезда""",2026-06-10,64,6,14,9.38,7600.00
2063101,"Гостиница ""Азия-Европа""",2026-06-10,19,7,14,36.84,4000.00
1378154,"Гостиница ""Байкал - Северное море""",2026-06-10,120,14,34,11.67,5000.00
898794,"Бутик-отель ""Маруся""",2026-06-10,14,7,17,50.0,6300.00
767249,"Отель ""Купеческий Дворъ""",2026-06-10,14,11,31,78.57,7380.00
2036706,"Отель ""Магистраль""",2026-06-10,21,9,25,42.86,3100.00
1979910,"Отель""NUUR HOTEL""",2026-06-10,28,0,0,0.0,
1899852,Отель «Байкал-Аляска»,2026-06-10,24,0,0,0.0,
1345611,Гостиница,2026-06-10,29,7,15,24.14,10925.00
1390108,"Гостиница  ""Воробьевы горы""",2026-06-10,11,7,28,63.64,11000.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-06-10,99,6,36,6.06,12180.00
1335449,Отель Амурский,2026-06-10,17,10,22,58.82,17900.00
1019043,"Гостиница ""Спектр""",2026-06-10,14,2,4,14.29,3000.00
2110558,"Гостиница ""Малый отель""",2026-06-10,11,7,13,63.64,4500.00
2131235,"Отель ""Усадьба 1901""",2026-06-10,18,7,12,38.89,6000.00
