tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-06-05,300,8,12,2.67,5000.00
906031,"Гостиница ""Матрёшка""",2026-06-05,35,10,20,28.57,5103.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-06-05,59,8,18,13.56,6400.00
1296851,"Гостиница ""Русь""",2026-06-05,56,7,15,12.5,4600.00
1328740,"Гостиница ""На Звездинской""",2026-06-05,30,6,12,20.0,5000.00
1889753,"Мини-отель ""Проспект""",2026-06-05,4,1,4,25.0,3200.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-06-05,30,12,47,40.0,3000.00
1490581,"Гостиница ""Юбилейная""",2026-06-05,23,5,9,21.74,2700.00
1064267,"Мини-отель ""Nice People""",2026-06-05,6,1,1,16.67,3500.00
1298063,"Бутик-отель ""География""",2026-06-05,12,3,7,25.0,7500.00
787596,"Гостиница ""Ochagof""",2026-06-05,23,4,12,17.39,5950.00
1000539,"Отель ""Маяк""",2026-06-05,75,2,2,2.67,8820.00
1277758,"Отель ""Гранд Байкал""",2026-06-05,64,5,11,7.81,5400.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-06-05,37,8,16,21.62,13800.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-06-05,66,2,4,3.03,6000.00
904225,"Отель ""Михаил Строгов""",2026-06-05,21,10,18,47.62,5500.00
1032271,"Отель ""Даурия""",2026-06-05,15,4,10,26.67,5000.00
946962,"Отель ""Лотос""",2026-06-05,21,6,11,28.57,2000.00
1390225,"Гостиница ""Добрый Кот""",2026-06-05,10,2,2,20.0,800.00
1690094,Гостиница Олимпиада,2026-06-05,25,5,8,20.0,1700.00
1467982,Гостиница,2026-06-05,5,3,5,60.0,2000.00
1490199,Отель «Альпари»,2026-06-05,10,4,10,40.0,2400.00
1508283,"Гостиница"" Аврора""",2026-06-05,7,3,6,42.86,2800.00
1609403,"Отель ""Иркут""",2026-06-05,30,8,15,26.67,3300.00
1265779,"Отель ""Клубный Квартал""",2026-06-05,48,5,10,10.42,3500.00
1632075,"Отель"" Арбат""",2026-06-05,11,0,0,0.0,
1655828,"Апарт-отель ""Светлый""",2026-06-05,6,0,0,0.0,
1314294,"Гостиница ""Ангара-Приоритет""",2026-06-05,31,0,0,0.0,
1296594,"Отель ""Тайга""",2026-06-05,44,10,25,22.73,4900.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-06-05,15,6,9,40.0,4995.00
1851647,"Парк-Отель ""Шелест""",2026-06-05,8,4,8,50.0,5000.00
1487384,"Парк отель ""Уюга""",2026-06-05,58,10,38,17.24,5000.00
1343236,"Бутик-отель ""Аристократ""",2026-06-05,12,6,12,50.0,5100.00
1491765,"Гостиница ""130Hotel""",2026-06-05,12,5,9,41.67,5500.00
1462849,"Гостиница ""7 дорог""",2026-06-05,19,7,24,36.84,8400.00
1276636,"Парк-отель ""Бурдугуз""",2026-06-05,69,5,15,7.25,19500.00
1441288,Отель Армат 4*,2026-06-05,36,8,17,22.22,5300.00
1472664,"Гостиница ""Байкал Форест""",2026-06-05,76,4,12,5.26,7500.00
1450305,Дача БайкалЭко,2026-06-05,10,4,8,40.0,12000.00
425543,"Отель ""Звезда""",2026-06-05,64,5,12,7.81,7600.00
1367592,"Отель ""Атлас""",2026-06-05,28,4,11,14.29,3700.00
2112642,"Гостиница ""Автовокзал""",2026-06-05,22,7,12,31.82,2600.00
1382100,"Гостиница ""У Истока""",2026-06-05,24,4,8,16.67,3400.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-06-05,15,8,14,53.33,5200.00
2032078,Гостиница «Усадьба Егорова»,2026-06-05,10,6,15,60.0,7000.00
2063101,"Гостиница ""Азия-Европа""",2026-06-05,19,8,16,42.11,4000.00
1378154,"Гостиница ""Байкал - Северное море""",2026-06-05,120,14,34,11.67,6000.00
898794,"Бутик-отель ""Маруся""",2026-06-05,14,7,16,50.0,6300.00
767249,"Отель ""Купеческий Дворъ""",2026-06-05,14,7,20,50.0,7380.00
2036706,"Отель ""Магистраль""",2026-06-05,21,9,25,42.86,3100.00
1979910,"Отель""NUUR HOTEL""",2026-06-05,28,9,25,32.14,7500.00
1899852,Отель «Байкал-Аляска»,2026-06-05,24,4,8,16.67,9500.00
1345611,Гостиница,2026-06-05,29,9,21,31.03,10925.00
1390108,"Гостиница  ""Воробьевы горы""",2026-06-05,11,0,0,0.0,
1802586,"Гостиница ""BAIKAL VIEW""",2026-06-05,99,6,36,6.06,12180.00
1335449,Отель Амурский,2026-06-05,17,7,14,41.18,17900.00
1019043,"Гостиница ""Спектр""",2026-06-05,14,2,4,14.29,3000.00
2110558,"Гостиница ""Малый отель""",2026-06-05,11,8,14,72.73,4500.00
2131235,"Отель ""Усадьба 1901""",2026-06-05,18,8,14,44.44,6000.00
