city,tvil_hotel_id,name,address,latitude,longitude,url,rooms_number
Иркутск,1472664,"Гостиница ""Байкал Форест""","Иркутск, Советская улица, 58/1",52.275596,104.305257,https://tvil.ru/city/irkutsk/hotels/1472664/,76
Иркутск,1276636,"Парк-отель ""Бурдугуз""","Иркутск, Большереченское муниципальное образование, посёлок Бурдугуз, Лесная улица, 1",52.057142,104.602171,https://tvil.ru/city/irkutsk/hotels/1276636/,69
Иркутск,2112642,"Гостиница ""Автовокзал""","Иркутск, улица Октябрьской Революции, 11",52.289770,104.304799,https://tvil.ru/city/irkutsk/hotels/2112642/,22
Ангарск,1632075,"Отель"" Арбат""","Ангарск, 192 квартал, 7",52.505832,103.840366,https://tvil.ru/city/angarsk/hotels/1632075/,11
Иркутск,1382100,"Гостиница ""У Истока""","Иркутск, улица Ржанова, 43",52.253022,104.363040,https://tvil.ru/city/irkutsk/hotels/1382100/,24
Иркутск,1129766,"Доходный дом ""М.А. Листратовой""","Иркутск, Подгорная улица, 16",52.277727,104.292654,https://tvil.ru/city/irkutsk/hotels/1129766/,15
Иркутск,1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""","Иркутск, улица Дзержинского, 50",52.286487,104.298547,https://tvil.ru/city/irkutsk/hotels/1048431/,15
Иркутск,2032078,Гостиница «Усадьба Егорова»,"Иркутск, улица Грязнова, 2",52.281154,104.285620,https://tvil.ru/city/irkutsk/hotels/2032078/,10
Хужир,1450305,Дача БайкалЭко,"Хужир, Лесная улица, 32",53.191638,107.349908,https://tvil.ru/city/huzhir/hotels/1450305/,10
Иркутск,425543,"Отель ""Звезда""","Иркутск, улица Ядринцева, 1-Ж",52.277831,104.336524,https://tvil.ru/city/irkutsk/hotels/425543/,64
Иркутск,2063101,"Гостиница ""Азия-Европа""","Иркутск, улица Ядринцева, 1/7",52.279039,104.336204,https://tvil.ru/city/irkutsk/hotels/2063101/,19
Иркутск,1378154,"Гостиница ""Байкал - Северное море""","Иркутск, Дальневосточная, 156",52.252236,104.321149,https://tvil.ru/city/irkutsk/hotels/1378154/,120
Иркутск,898794,"Бутик-отель ""Маруся""","Иркутск, улица Седова, 12",52.275142,104.288404,https://tvil.ru/city/irkutsk/hotels/898794/,14
Иркутск,767249,"Отель ""Купеческий Дворъ""","Иркутск, улица Седова, 10",52.275132,104.287974,https://tvil.ru/city/irkutsk/hotels/767249/,14
Нижнеудинск,2036706,"Отель ""Магистраль""","Нижнеудинск, Красноармейская улица, 43, 43",54.920704,99.048541,https://tvil.ru/city/nizhneudinsk/hotels/2036706/,21
Иркутск,1979910,"Отель""NUUR HOTEL""","Иркутск, улица Карла Либкнехта, 85",52.281689,104.306847,https://tvil.ru/city/irkutsk/hotels/1979910/,28
Иркутск,1899852,Отель «Байкал-Аляска»,"Иркутск, Старо-Кузьмихинская улица, 37/3",52.250868,104.283563,https://tvil.ru/city/irkutsk/hotels/1899852/,24
Хужир,1345611,Гостиница,"Хужир, Светлая улица, 5",53.194075,107.361728,https://tvil.ru/city/huzhir/hotels/1345611/,29
Хужир,1802586,"Гостиница ""BAIKAL VIEW""","Хужир, Российская, 17",53.178323,107.306871,https://tvil.ru/city/huzhir/hotels/1802586/,99
Иркутск,1390108,"Гостиница  ""Воробьевы горы""","Иркутск, Ольхонский район, местность Тутай, 1, 1",53.002109,106.893550,https://tvil.ru/city/irkutsk/hotels/1390108/,11
Иркутск,1335449,Отель Амурский,"Иркутск, улица Ленина, 34",52.280669,104.281775,https://tvil.ru/city/irkutsk/hotels/1335449/,17
Иркутск,1019043,"Гостиница ""Спектр""","Иркутск, улица Рабочего Штаба, 97/1",52.321179,104.302147,https://tvil.ru/city/irkutsk/hotels/1019043/,14
Ангарск,2110558,"Гостиница ""Малый отель""","Ангарск, 7-й микрорайон, 35",52.518307,103.869062,https://tvil.ru/city/angarsk/hotels/2110558/,11
Иркутск,2131235,"Отель ""Усадьба 1901""","Иркутск, Подгорная улица, 2",52.277120,104.289365,https://tvil.ru/city/irkutsk/hotels/2131235/,18
