tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1435824,"Гостиница ""Ангара""",300,7,10,2.33,2026-03-07,5500.00
906031,"Гостиница ""Матрёшка""",35,9,17,25.71,2026-03-07,4982.00
1265180,"Отель ""Байкал Бизнес Центр""",59,4,6,6.78,2026-03-07,7900.00
1434513,"Парк отель ""Байкал""",9,8,24,88.89,2026-03-07,4500.00
1296851,"Гостиница ""Русь""",56,6,12,10.71,2026-03-07,4100.00
1328740,"Гостиница ""На Звездинской""",30,5,9,16.67,2026-03-07,5000.00
1889753,"Мини-отель ""Проспект""",4,1,4,25.0,2026-03-07,4500.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,14,51,46.67,2026-03-07,3000.00
1490581,"Гостиница ""Юбилейная""",23,7,12,30.43,2026-03-07,2500.00
1064267,Мини-отель «Nice People»,6,4,7,66.67,2026-03-07,4200.00
787596,"Гостиница ""Ochagof""",23,4,12,17.39,2026-03-07,5950.00
1000539,"Отель ""Маяк""",75,2,2,2.67,2026-03-07,10810.00
1372499,"Отель ""Байкал Хан Ольхон""",37,4,8,10.81,2026-03-07,16500.00
946962,"Отель ""Лотос""",21,12,27,57.14,2026-03-07,1150.00
1265779,"Отель ""Клубный Квартал""",48,5,10,10.42,2026-03-07,3400.00
1276636,"Парк-отель ""Бурдугуз""",69,4,12,5.8,2026-03-07,19500.00
1390225,"Гостиница ""Добрый Кот""",10,12,32,120.0,2026-03-07,800.00
1367731,"Отель ""Яковлевъ""",25,2,5,8.0,2026-03-07,4000.00
1491765,"Гостиница ""130Hotel""",12,2,4,16.67,2026-03-07,4500.00
1609403,"Отель ""Иркут""",30,16,28,53.33,2026-03-07,3350.00
1287498,"Парк-отель ""Соболинка""",33,0,0,0.0,2026-03-07,
1462849,"Гостиница ""7 дорог""",19,0,0,0.0,2026-03-07,
1487384,"Парк отель ""Уюга""",58,0,0,0.0,2026-03-07,
1690094,Гостиница Олимпиада,25,5,8,20.0,2026-03-07,1700.00
1892012,"Отель ""Подлеморье""",14,0,0,0.0,2026-03-07,
1913029,"Отель ""Точка Байкала""",38,1,4,2.63,2026-03-07,14000.00
1467982,Гостиница,5,3,5,60.0,2026-03-07,1500.00
1490199,Отель «Альпари»,10,1,4,10.0,2026-03-07,4000.00
1382100,"Гостиница ""У Истока""",24,0,0,0.0,2026-03-07,
1314294,"Гостиница ""Ангара-Приоритет""",31,12,28,38.71,2026-03-07,4000.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,7,12,46.67,2026-03-07,4100.00
904225,"Отель ""Михаил Строгов""",21,1,1,4.76,2026-03-07,5400.00
1655828,"Апарт-отель ""Светлый""",6,3,6,50.0,2026-03-07,4500.00
1441288,Отель Армат 4*,40,9,18,22.5,2026-03-07,7400.00
2063101,"Гостиница ""Азия-Европа""",19,8,16,42.11,2026-03-07,4000.00
1775519,"Гостиница ""Nord Star Hotel""",12,6,20,50.0,2026-03-07,5500.00
1851647,"Парк-Отель ""Шелест""",8,4,8,50.0,2026-03-07,5000.00
1367592,"Отель ""Атлас""",28,5,11,17.86,2026-03-07,4800.00
1472664,"Гостиница ""Байкал Форест""",76,5,13,6.58,2026-03-07,11400.00
424345,"Гостиничный комплекс ""Лазурный берег""",66,0,0,0.0,2026-03-07,
1450305,Дача БайкалЭко,10,0,0,0.0,2026-03-07,
425543,"Отель ""Звезда""",64,6,14,9.38,2026-03-07,7000.00
895518,"Гостиница ""Космос""",16,5,14,31.25,2026-03-07,4675.00
1296594,"Отель ""Тайга""",44,4,7,9.09,2026-03-07,5400.00
1508283,"Гостиница"" Аврора""",7,2,6,28.57,2026-03-07,3700.00
1390108,"Гостиница  ""Воробьевы горы""",11,2,5,18.18,2026-03-07,12000.00
1097942,Hotel Olhon 2*,28,6,22,21.43,2026-03-07,8000.00
1632075,"Отель"" Арбат""",11,6,11,54.55,2026-03-07,4390.00
1785783,"Отель ""Белый Берег""",5,0,0,0.0,2026-03-07,
767249,"Отель ""Купеческий Дворъ""",14,1,4,7.14,2026-03-07,12900.00
898794,"Бутик-отель ""Маруся""",14,1,3,7.14,2026-03-07,11445.00
1129766,"Доходный дом ""М.А. Листратовой""",15,8,15,53.33,2026-03-07,4329.00
1343236,"Бутик-отель ""Аристократ""",12,3,5,25.0,2026-03-07,4500.00
1345611,Гостиница,29,1,3,3.45,2026-03-07,23400.00
1335449,Отель Амурский,17,7,14,41.18,2026-03-07,17900.00
1378154,"Гостиница ""Байкал - Северное море""",120,12,28,10.0,2026-03-07,7935.00
1802586,"Гостиница ""BAIKAL VIEW""",99,3,7,3.03,2026-03-07,13210.00
1899852,Отель «Байкал-Аляска»,24,0,0,0.0,2026-03-07,
1979910,"Отель""NUUR HOTEL""",28,7,21,25.0,2026-03-07,8300.00
1993192,"Парк-отель ""Алтан""",21,0,0,0.0,2026-03-07,
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-07,4350.00
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-07,3100.00
2032078,Гостиница «Усадьба Егорова»,10,0,0,0.0,2026-03-07,
