tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1434513,"Парк отель ""Байкал""",9,11,35,122.22,2026-03-09,3500.00
1296851,"Гостиница ""Русь""",56,8,18,14.29,2026-03-09,4100.00
1328740,"Гостиница ""На Звездинской""",30,5,9,16.67,2026-03-09,5000.00
1889753,"Мини-отель ""Проспект""",4,2,8,50.0,2026-03-09,4500.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,9,36,30.0,2026-03-09,3000.00
1490581,"Гостиница ""Юбилейная""",23,5,9,21.74,2026-03-09,2700.00
1064267,Мини-отель «Nice People»,6,3,7,50.0,2026-03-09,5500.00
787596,"Гостиница ""Ochagof""",23,3,9,13.04,2026-03-09,5950.00
1000539,"Отель ""Маяк""",75,3,5,4.0,2026-03-09,9240.00
1277758,"Отель ""Гранд Байкал""",64,3,9,4.69,2026-03-09,9600.00
1372499,"Отель ""Байкал Хан Ольхон""",37,2,4,5.41,2026-03-09,19800.00
946962,"Отель ""Лотос""",21,6,11,28.57,2026-03-09,2150.00
1032271,"Отель ""Даурия""",15,3,6,20.0,2026-03-09,5500.00
1265779,"Отель ""Клубный Квартал""",48,3,6,6.25,2026-03-09,4000.00
1287498,"Парк-отель ""Соболинка""",33,4,4,12.12,2026-03-09,7700.00
1276636,"Парк-отель ""Бурдугуз""",69,6,18,8.7,2026-03-09,19500.00
1390225,"Гостиница ""Добрый Кот""",10,18,50,180.0,2026-03-09,800.00
1367731,"Отель ""Яковлевъ""",25,3,6,12.0,2026-03-09,4700.00
1462849,"Гостиница ""7 дорог""",19,14,50,73.68,2026-03-09,7970.00
1491765,"Гостиница ""130Hotel""",12,4,8,33.33,2026-03-09,4500.00
1487384,"Парк отель ""Уюга""",58,9,35,15.52,2026-03-09,4500.00
1609403,"Отель ""Иркут""",30,5,10,16.67,2026-03-09,4200.00
1690094,Гостиница Олимпиада,25,3,4,12.0,2026-03-09,1700.00
1892012,"Отель ""Подлеморье""",14,7,16,50.0,2026-03-09,5500.00
1913029,"Отель ""Точка Байкала""",38,3,12,7.89,2026-03-09,10000.00
1467982,Гостиница,5,3,5,60.0,2026-03-09,1500.00
1490199,Отель «Альпари»,10,3,8,30.0,2026-03-09,2400.00
1382100,"Гостиница ""У Истока""",24,0,0,0.0,2026-03-09,
1314294,"Гостиница ""Ангара-Приоритет""",31,5,10,16.13,2026-03-09,4500.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,8,14,53.33,2026-03-09,4100.00
904225,"Отель ""Михаил Строгов""",21,2,3,9.52,2026-03-09,5400.00
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-09,4500.00
1441288,Отель Армат 4*,40,9,20,22.5,2026-03-09,7400.00
2063101,"Гостиница ""Азия-Европа""",19,8,16,42.11,2026-03-09,4000.00
1775519,"Гостиница ""Nord Star Hotel""",12,1,2,8.33,2026-03-09,6500.00
1851647,"Парк-Отель ""Шелест""",8,4,8,50.0,2026-03-09,5000.00
1367592,"Отель ""Атлас""",28,2,6,7.14,2026-03-09,5600.00
1472664,"Гостиница ""Байкал Форест""",76,0,0,0.0,2026-03-09,
424345,"Гостиничный комплекс ""Лазурный берег""",66,0,0,0.0,2026-03-09,
1450305,Дача БайкалЭко,10,4,8,40.0,2026-03-09,15000.00
425543,"Отель ""Звезда""",64,0,0,0.0,2026-03-09,
895518,"Гостиница ""Космос""",16,5,16,31.25,2026-03-09,3675.00
1296594,"Отель ""Тайга""",44,4,10,9.09,2026-03-09,5400.00
1508283,"Гостиница"" Аврора""",7,3,7,42.86,2026-03-09,2900.00
1390108,"Гостиница  ""Воробьевы горы""",11,0,0,0.0,2026-03-09,
1097942,Hotel Olhon 2*,28,6,22,21.43,2026-03-09,6500.00
1632075,"Отель"" Арбат""",11,5,9,45.45,2026-03-09,4390.00
1785783,"Отель ""Белый Берег""",5,4,16,80.0,2026-03-09,9500.00
767249,"Отель ""Купеческий Дворъ""",14,1,4,7.14,2026-03-09,12900.00
898794,"Бутик-отель ""Маруся""",14,4,11,28.57,2026-03-09,10185.00
1129766,"Доходный дом ""М.А. Листратовой""",15,0,0,0.0,2026-03-09,
1343236,"Бутик-отель ""Аристократ""",12,2,2,16.67,2026-03-09,4500.00
1345611,Гостиница,29,6,16,20.69,2026-03-09,17400.00
1335449,Отель Амурский,17,10,24,58.82,2026-03-09,17900.00
1378154,"Гостиница ""Байкал - Северное море""",120,14,34,11.67,2026-03-09,7360.00
1802586,"Гостиница ""BAIKAL VIEW""",99,2,4,2.02,2026-03-09,15840.00
1899852,Отель «Байкал-Аляска»,24,4,8,16.67,2026-03-09,9500.00
1979910,"Отель""NUUR HOTEL""",28,2,8,7.14,2026-03-09,17000.00
1993192,"Парк-отель ""Алтан""",21,2,4,9.52,2026-03-09,25000.00
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-09,4350.00
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-09,3100.00
2032078,Гостиница «Усадьба Егорова»,10,6,16,60.0,2026-03-09,7000.00
